jp,fr,source
いにしえの龍秘宝,Trésor dragon ancien,capcom-official:mhrise-sunbreak
いにしえの龍骨,Relique dragon,capcom-official:mhrise-sunbreak
うさみみチケット,Ti. Oreilles lapin,capcom-official:mhrise-sunbreak
きれいな尻子玉,Nacre brillante,capcom-official:mhrise-sunbreak
きれいな腹袋,Estomac raffiné,capcom-official:mhrise-sunbreak
げどく草,Herbe antidote,capcom-official:mhrise-sunbreak
こやし玉,Bombe de bouse,capcom-official:mhrise-sunbreak
こんがり肉,Steak à point,capcom-official:mhrise-sunbreak
こんがり魚,Poisson gourmet,capcom-official:mhrise-sunbreak
しゃっこい堅氷塊,Bloc de glace+,capcom-official:mhrise-sunbreak
しゃっこい氷塊,Bloc de glace,capcom-official:mhrise-sunbreak
しゃっこい重氷塊,Bloc de glace dense,capcom-official:mhrise-sunbreak
とがった爪,Griffe acérée,capcom-official:mhrise-sunbreak
とがった牙,Croc aiguisé,capcom-official:mhrise-sunbreak
にが虫,Amerinsecte,capcom-official:mhrise-sunbreak
ねじれた堅怪骨,Os rocheux tordu,capcom-official:mhrise-sunbreak
ねじれた怪骨,Restes tordus,capcom-official:mhrise-sunbreak
ねじれた角,Corne tordue,capcom-official:mhrise-sunbreak
ねじれた重怪骨,Os dur tordu,capcom-official:mhrise-sunbreak
はじけイワシ,Poisson-grenade,capcom-official:mhrise-sunbreak
ふんわり毛糸玉,Pelote douce,capcom-official:mhrise-sunbreak
まんまるドングリ,Châtaigne ronde,capcom-official:mhrise-sunbreak
もこふわチケット,Ticket duveteux,capcom-official:mhrise-sunbreak
アイシスメタル,Icium,capcom-official:mhrise-sunbreak
アオキノコ,Champignon bleu,capcom-official:mhrise-sunbreak
アキンドングリ,Grande châtaigne,capcom-official:mhrise-sunbreak
アルティマ結晶,Cristal ultimas,capcom-official:mhrise-sunbreak
アルビノの中落ち,Os pâle,capcom-official:mhrise-sunbreak
アルビノの霜降り,Viande albinos,capcom-official:mhrise-sunbreak
アルビノエキス,Extrait pâle,capcom-official:mhrise-sunbreak
アンゴシックラゲ,Dentelluse,capcom-official:mhrise-sunbreak
アンモサカガイ,Conchabysse,capcom-official:mhrise-sunbreak
イカしたトサカ,Crête élégante,capcom-official:mhrise-sunbreak
イカダガキ,Coquiradeau,capcom-official:mhrise-sunbreak
イズチの刃尾,Queue Izuchi,capcom-official:mhrise-sunbreak
イズチの剛毛,Peau Izuchi+,capcom-official:mhrise-sunbreak
イズチの毛,Peau Izuchi,capcom-official:mhrise-sunbreak
イズチの豪剛毛,Peau Izuchi lourde,capcom-official:mhrise-sunbreak
ウチケシの実,Baie-soin,capcom-official:mhrise-sunbreak
エスピナコイン,Pièce Espinas,capcom-official:mhrise-sunbreak
エルガドチケット,Ticket Elgado,capcom-official:mhrise-sunbreak
エルトライト鉱石,Eltalite,capcom-official:mhrise-sunbreak
オオクワアゲハ,Scara-papillon,capcom-official:mhrise-sunbreak
オオヨロイシダイ,Gde brème cuirassée,capcom-official:mhrise-sunbreak
オオ毒クモリ,Grand Kumori toxique,capcom-official:mhrise-sunbreak
オトモチケット,Ticket Pilpoil,capcom-official:mhrise-sunbreak
オトモリング,Ring Pilpoil,capcom-official:mhrise-sunbreak
オルギィの厚皮,Peau épaisse Boggi,capcom-official:mhrise-sunbreak
オルギィの厚鱗,Éclat Boggi,capcom-official:mhrise-sunbreak
カクサンの実,Bombaie,capcom-official:mhrise-sunbreak
カクサンデメキン,Poisson-dynamite,capcom-official:mhrise-sunbreak
カジキマグロ,Lancethon,capcom-official:mhrise-sunbreak
カブレライト鉱石,Carbalite,capcom-official:mhrise-sunbreak
カムラチケット,Ticket Kamura,capcom-official:mhrise-sunbreak
カムラ猫影拳の帯,Ceinture Ninja F,capcom-official:mhrise-sunbreak
カラの実,Baie-coque,capcom-official:mhrise-sunbreak
カンタロスの斬羽,Élytre Hornetaur,capcom-official:mhrise-sunbreak
カンタロスの重殻,Cortex Hornetaur,capcom-official:mhrise-sunbreak
カンタロスの頭,Tête Hornetaur,capcom-official:mhrise-sunbreak
ガイアローズ,Rose de Gaïa,capcom-official:mhrise-sunbreak
ガウシカの角,Corne Anteka,capcom-official:mhrise-sunbreak
ガウシカの重角,Corne fière Anteka,capcom-official:mhrise-sunbreak
ガル面具チケット,Ti. masque Canyn,capcom-official:mhrise-sunbreak
ガーグァのフン,Guano de Gargwa,capcom-official:mhrise-sunbreak
ガーグァの卵,Œuf de Gargwa,capcom-official:mhrise-sunbreak
ガーグァの金の卵,Œuf d'or Gargwa,capcom-official:mhrise-sunbreak
キレアジ,Poissaiguiseur,capcom-official:mhrise-sunbreak
キングカブト,Roi Rhino,capcom-official:mhrise-sunbreak
ギルドチケット,Ticket Guilde,capcom-official:mhrise-sunbreak
クモの巣,Toile d'araignée,capcom-official:mhrise-sunbreak
クルルコイン,Pièce Kulu,capcom-official:mhrise-sunbreak
グラシスメタル,Gracium,capcom-official:mhrise-sunbreak
グラスチケット,Ticket lunettes,capcom-official:mhrise-sunbreak
グンカンガキ,Giga huître,capcom-official:mhrise-sunbreak
ケストドンの堅殻,Cuirasse Kesto.,capcom-official:mhrise-sunbreak
ケストドンの甲殻,Carapace Kesto.,capcom-official:mhrise-sunbreak
ケストドンの重殻,Coque Kestodon,capcom-official:mhrise-sunbreak
ケストドンの頭殻,Scalp Kestodon,capcom-official:mhrise-sunbreak
ケムリの実,Noix fumigène,capcom-official:mhrise-sunbreak
ケルビの角,Corne Kelbi,capcom-official:mhrise-sunbreak
コゲ肉,Viande brûlée,capcom-official:mhrise-sunbreak
コスモローズ,Rose cosmique,capcom-official:mhrise-sunbreak
ゴシックラゲ,Mimiduse,capcom-official:mhrise-sunbreak
ゴスゴシックラゲ,Médusa,capcom-official:mhrise-sunbreak
ゴッドカブト,Rhino divin,capcom-official:mhrise-sunbreak
ゴルドライト鉱石,Orite,capcom-official:mhrise-sunbreak
ゴルムコイン,Pièce Garangolm,capcom-official:mhrise-sunbreak
ゴールデンデン,Escargot d'or,capcom-official:mhrise-sunbreak
サシミウオ,Sushipoisson,capcom-official:mhrise-sunbreak
サファイアン鉱石,Minerai de saphir,capcom-official:mhrise-sunbreak
サンドローズ,Rose des sables,capcom-official:mhrise-sunbreak
ザザミコイン,Pièce Hermitaur,capcom-official:mhrise-sunbreak
ザンレツの実,Noix tranchante,capcom-official:mhrise-sunbreak
シビシビ柿,Paralyfruit,capcom-official:mhrise-sunbreak
シビレ生肉,Viande paral.,capcom-official:mhrise-sunbreak
シビレ罠,Piège électroch.,capcom-official:mhrise-sunbreak
ジャギィの上皮,Peau Jaggi+,capcom-official:mhrise-sunbreak
ジャギィの上鱗,Écaille Jaggi+,capcom-official:mhrise-sunbreak
ジャギィの厚皮,Cuir Jaggi,capcom-official:mhrise-sunbreak
ジャギィの厚鱗,Éclat Jaggi,capcom-official:mhrise-sunbreak
ジャギィの皮,Peau Jaggi,capcom-official:mhrise-sunbreak
ジャギィの鱗,Écaille Jaggi,capcom-official:mhrise-sunbreak
ジャグラスの上皮,Peau Jagras+,capcom-official:mhrise-sunbreak
ジャグラスの上鱗,Écaille Jagras+,capcom-official:mhrise-sunbreak
ジャグラスの厚鱗,Éclat Jagras,capcom-official:mhrise-sunbreak
ジャグラスの皮,Peau Jagras,capcom-official:mhrise-sunbreak
ジャグラスの鱗,Écaille Jagras,capcom-official:mhrise-sunbreak
スチームチケット,Ticket vapeur,capcom-official:mhrise-sunbreak
センテイガキ,Méga huître,capcom-official:mhrise-sunbreak
セントリア鉱石,Minerai Centuria,capcom-official:mhrise-sunbreak
タルの蓋,Couvercle baril,capcom-official:mhrise-sunbreak
ダイグンカンガキ,Énorme huître,capcom-official:mhrise-sunbreak
チャッカの実,Noix-de-feu,capcom-official:mhrise-sunbreak
チャッカツオ,Combusthon,capcom-official:mhrise-sunbreak
ツタの葉,Lierre,capcom-official:mhrise-sunbreak
ツラヌキの実,Baie-grippe,capcom-official:mhrise-sunbreak
テンゴコイン,Pièce Bishaten,capcom-official:mhrise-sunbreak
デカデカ柿,Gigananas,capcom-official:mhrise-sunbreak
トラップツール,Kit de piège,capcom-official:mhrise-sunbreak
トレビスマス結晶,Très gros bloc bism.,capcom-official:mhrise-sunbreak
ドキドキノコ,Champexciteur,capcom-official:mhrise-sunbreak
ドクドク柿,Fruit poison,capcom-official:mhrise-sunbreak
ドスキレアジ,G. poissaiguis.,capcom-official:mhrise-sunbreak
ドスクワアゲハ,Papillon bi-labre,capcom-official:mhrise-sunbreak
ドスチャッカツオ,Gros Combusthon,capcom-official:mhrise-sunbreak
ドスハッカジキ,G. Piranhardent,capcom-official:mhrise-sunbreak
ドスビスカス,Hibiscus,capcom-official:mhrise-sunbreak
ドスビスマス結晶,Gros bloc bism.,capcom-official:mhrise-sunbreak
ドス大食いマグロ,G. thon glouton,capcom-official:mhrise-sunbreak
ドラグライト鉱石,Dragonite,capcom-official:mhrise-sunbreak
ドンドルマリン,Joyau Dundorma,capcom-official:mhrise-sunbreak
ナルガコイン,Pièce Nargacuga,capcom-official:mhrise-sunbreak
ナルホドングリ,Eurekagland,capcom-official:mhrise-sunbreak
ニトロダケ,Champinitro,capcom-official:mhrise-sunbreak
ヌシのねじれた角,Corne supérieure,capcom-official:mhrise-sunbreak
ヌシの屍毒棘,P. poison sup.,capcom-official:mhrise-sunbreak
ヌシの泡立つ滑液,Mousse sup.,capcom-official:mhrise-sunbreak
ヌシの熊掌,Griffe sup.,capcom-official:mhrise-sunbreak
ヌシの超電殻,Carapace sup.,capcom-official:mhrise-sunbreak
ヌシの轟炎袋,Poche feu sup.,capcom-official:mhrise-sunbreak
ネオゴッドカブト,Rhino transcendant,capcom-official:mhrise-sunbreak
ネコ毛の大紅玉,Super Rubis Felyne,capcom-official:mhrise-sunbreak
ネコ毛の紅玉,Rubis Felyne,capcom-official:mhrise-sunbreak
ネット,Filet,capcom-official:mhrise-sunbreak
ネムリ草,Herbe du sommeil,capcom-official:mhrise-sunbreak
ノヴァクリスタル,Cristal nova,capcom-official:mhrise-sunbreak
ハチミツ,Miel,capcom-official:mhrise-sunbreak
ハッカの実,Noix-de-volcan,capcom-official:mhrise-sunbreak
ハッカジキ,Piranhardent,capcom-official:mhrise-sunbreak
ハナスズムシ,Grillon fleuri,capcom-official:mhrise-sunbreak
ハリの実,Baiguille,capcom-official:mhrise-sunbreak
ハンターリング,Ring de chasse,capcom-official:mhrise-sunbreak
バギィの上鱗,Écaille Baggi+,capcom-official:mhrise-sunbreak
バギィの皮,Peau Baggi,capcom-official:mhrise-sunbreak
バギィの鱗,Écaille Baggi,capcom-official:mhrise-sunbreak
バクレツの実,Noix dynamite,capcom-official:mhrise-sunbreak
バゼルコイン,Pièce Bazelgeuse,capcom-official:mhrise-sunbreak
バリスタ弾,Tir de baliste,capcom-official:mhrise-sunbreak
バルバレクォーツ,Quartz Val Habar,capcom-official:mhrise-sunbreak
バンダナチケット,Ticket bandana,capcom-official:mhrise-sunbreak
パールデンデン,Escargot à perles,capcom-official:mhrise-sunbreak
ビスマス七光石,Prisme bismuth irid.,capcom-official:mhrise-sunbreak
ビスマス光石,Prisme bismuth,capcom-official:mhrise-sunbreak
ビスマス石,Fragm. bismuth,capcom-official:mhrise-sunbreak
ビスマス結晶,Bloc de bismuth,capcom-official:mhrise-sunbreak
ビスマス輝石,Augite bismuth,capcom-official:mhrise-sunbreak
ビッグラブレシア,Laffresia géant,capcom-official:mhrise-sunbreak
ピカピカ柿,Fruit flash,capcom-official:mhrise-sunbreak
ピュアクリスタル,Cristal de sérénité,capcom-official:mhrise-sunbreak
ファンゴの上毛皮,Pel. Bullfango+,capcom-official:mhrise-sunbreak
ファンゴの厚毛皮,Fourrure Bullfango,capcom-official:mhrise-sunbreak
ファンゴの毛皮,Pelage Bullfango,capcom-official:mhrise-sunbreak
ファンゴの頭,Tête Bullfango,capcom-official:mhrise-sunbreak
フロギィの上鱗,Écaille Wroggi+,capcom-official:mhrise-sunbreak
フロギィの皮,Peau Wroggi,capcom-official:mhrise-sunbreak
フロギィの鱗,Écaille Wroggi,capcom-official:mhrise-sunbreak
フロシスメタル,Frocium,capcom-official:mhrise-sunbreak
ブヨブヨした皮,Cuir flasque,capcom-official:mhrise-sunbreak
ブラッドチケット,Ticket sanglant,capcom-official:mhrise-sunbreak
プラチナのたまご,Œuf de platine,capcom-official:mhrise-sunbreak
ベリオコイン,Pièce Barioth,capcom-official:mhrise-sunbreak
ベルナストーン,Pierre de Bherna,capcom-official:mhrise-sunbreak
ペピポパンプキン,Potironron,capcom-official:mhrise-sunbreak
ホワイトレバー,Foie blanc,capcom-official:mhrise-sunbreak
ボロスコイン,Pièce Barroth,capcom-official:mhrise-sunbreak
ポポノタン,Langue de Popo,capcom-official:mhrise-sunbreak
マカライト鉱石,Machalite,capcom-official:mhrise-sunbreak
マキシパンプキン,Maxipotiron,capcom-official:mhrise-sunbreak
マクラサカガイ,Narcoquillage,capcom-official:mhrise-sunbreak
マタタビ,Felvine,capcom-official:mhrise-sunbreak
マッスルの証明,Badge muscle,capcom-official:mhrise-sunbreak
マッスルの証明Ｇ,Badge muscle+,capcom-official:mhrise-sunbreak
マヒダケ,Champaralysie,capcom-official:mhrise-sunbreak
マンドラゴラ,Mandragore,capcom-official:mhrise-sunbreak
マーレチケット,Ticket Océan,capcom-official:mhrise-sunbreak
ミナガルデナイト,Minegardenite,capcom-official:mhrise-sunbreak
ムーンドロップ,Goutte de lune,capcom-official:mhrise-sunbreak
メランジェ鉱石,Meldium,capcom-official:mhrise-sunbreak
モドリ玉,Téléportogène,capcom-official:mhrise-sunbreak
モンスターのキモ,Boyaux monstre,capcom-official:mhrise-sunbreak
モンスターのフン,Bouse,capcom-official:mhrise-sunbreak
モンスターの体液,Liquide monstre,capcom-official:mhrise-sunbreak
モンスターの濃汁,Bouillon monstre,capcom-official:mhrise-sunbreak
モンスターの特濃,Essence de monstre,capcom-official:mhrise-sunbreak
ヤクヨケダケ,Champi Nohsic,capcom-official:mhrise-sunbreak
ユニオン鉱石,Fucium,capcom-official:mhrise-sunbreak
ヨロイシダイ,Brème cuirassée,capcom-official:mhrise-sunbreak
ライトクリスタル,Cristal lumière,capcom-official:mhrise-sunbreak
ラブラブレシア,Alaffresia,capcom-official:mhrise-sunbreak
ラブレシア,Laffresia,capcom-official:mhrise-sunbreak
ランゴスタの斬羽,Élytre Vespoid,capcom-official:mhrise-sunbreak
ランゴスタの重殻,Cortex Vespoid,capcom-official:mhrise-sunbreak
ランポスの厚皮,Peau épaisse Velociprey,capcom-official:mhrise-sunbreak
ランポスの厚鱗,Éclat Velociprey,capcom-official:mhrise-sunbreak
ランマンスズムシ,Criquet pastoral,capcom-official:mhrise-sunbreak
ラージャンコイン,Pièce Rajang,capcom-official:mhrise-sunbreak
ラージャンハート,Cœur Rajang,capcom-official:mhrise-sunbreak
リュウゲキの実,Noix frap.-drag.,capcom-official:mhrise-sunbreak
リング,Ring,capcom-official:mhrise-sunbreak
ルナガロコイン,Pièce Lunagaron,capcom-official:mhrise-sunbreak
ロイヤルカブト,Rhino royal,capcom-official:mhrise-sunbreak
ロックラック鉱,Minerai Loc Lac,capcom-official:mhrise-sunbreak
ロックローズ,Rose de pierre,capcom-official:mhrise-sunbreak
ワイルドな黒革,Cuir ténébreux,capcom-official:mhrise-sunbreak
ワヲンパンプキン,Gigatiron,capcom-official:mhrise-sunbreak
ヴァリアビスカス,Valiabiscus,capcom-official:mhrise-sunbreak
三ツ星ツボカズラ,Plante gourmande,capcom-official:mhrise-sunbreak
三連バリスタ弾,Tir baliste x 3,capcom-official:mhrise-sunbreak
上竜骨,Os de monstre+,capcom-official:mhrise-sunbreak
上質なねじれた角,Corne majest.,capcom-official:mhrise-sunbreak
上質なヒレ,Nageoire qualité,capcom-official:mhrise-sunbreak
上質な堅骨,Os de qualité,capcom-official:mhrise-sunbreak
上質な毛皮,Pel. de qualité,capcom-official:mhrise-sunbreak
上質な腹袋,Estomac qualité,capcom-official:mhrise-sunbreak
上鎧玉,Sphère d'armure+,capcom-official:mhrise-sunbreak
不死虫,Insecte immortel,capcom-official:mhrise-sunbreak
不死虫コーパル,Copale Insecte-dieu,capcom-official:mhrise-sunbreak
丸鳥の特上羽,Plume fine Gargwa,capcom-official:mhrise-sunbreak
丸鳥の羽,Plume Gargwa,capcom-official:mhrise-sunbreak
二律を纏う乱翼,Aile antinomique,capcom-official:mhrise-sunbreak
二連バリスタ弾,Tir baliste x 2,capcom-official:mhrise-sunbreak
二連大砲弾,Mun. canon x 2,capcom-official:mhrise-sunbreak
二連大砲弾・強,Munitions canon x2,capcom-official:mhrise-sunbreak
五ツ星ツボカズラ,Plante penta,capcom-official:mhrise-sunbreak
人魚竜のゆめみ粉,Poudre rêve Somna.,capcom-official:mhrise-sunbreak
人魚竜の上鱗,Écaille Somna.+,capcom-official:mhrise-sunbreak
人魚竜の剛鉤爪,Serre oni Somnacanth,capcom-official:mhrise-sunbreak
人魚竜の厚鱗,Éclat Somnacanth,capcom-official:mhrise-sunbreak
人魚竜の堅殻,Carapace Somna.+,capcom-official:mhrise-sunbreak
人魚竜の尖鉤爪,Griffe Somna.+,capcom-official:mhrise-sunbreak
人魚竜の微睡み粉,Sédatif Somna.,capcom-official:mhrise-sunbreak
人魚竜の怒髪ヒレ,Nageoire Somna.+,capcom-official:mhrise-sunbreak
人魚竜の甲殻,Carapace Somna.,capcom-official:mhrise-sunbreak
人魚竜の眠り粉,Poussière Somna.,capcom-official:mhrise-sunbreak
人魚竜の荒髪ヒレ,Nageoire sauv. Somna.,capcom-official:mhrise-sunbreak
人魚竜の重殻,Cortex Somnacanth,capcom-official:mhrise-sunbreak
人魚竜の鉤爪,Serre Somna.,capcom-official:mhrise-sunbreak
人魚竜の髪ヒレ,Nageoire Somna.,capcom-official:mhrise-sunbreak
人魚竜の鱗,Écaille Somna.,capcom-official:mhrise-sunbreak
代償の異国製図,Dessins de compensation,capcom-official:mhrise-sunbreak
伝統の団子素材,Épice mythique,capcom-official:mhrise-sunbreak
修羅原珠,Joyau de sang,capcom-official:mhrise-sunbreak
俳句集『庵点』,Haïku : en chanson,capcom-official:mhrise-sunbreak
偉大なクチバシ,Bec impérial,capcom-official:mhrise-sunbreak
偉大なトサカ,Crête glorieuse,capcom-official:mhrise-sunbreak
傀氣マカ油,Sang de fusion,capcom-official:mhrise-sunbreak
傀異化した上皮,Peau affligée+,capcom-official:mhrise-sunbreak
傀異化した上鱗,Écaille affligée+,capcom-official:mhrise-sunbreak
傀異化した凶上鱗,Écaille malv. alt.+,capcom-official:mhrise-sunbreak
傀異化した凶剛爪,Griffe dure malv. affligé,capcom-official:mhrise-sunbreak
傀異化した凶剛翼,Égide malv. alt.,capcom-official:mhrise-sunbreak
傀異化した凶剛角,Corne dure malv. affligée,capcom-official:mhrise-sunbreak
傀異化した凶厚鱗,Éclat malv. affl.,capcom-official:mhrise-sunbreak
傀異化した凶堅殻,Cuirasse malv. alt.,capcom-official:mhrise-sunbreak
傀異化した凶堅骨,Os dur malv. affligé,capcom-official:mhrise-sunbreak
傀異化した凶尖爪,Griffe malv. alt.+,capcom-official:mhrise-sunbreak
傀異化した凶尖角,Corne malv. alt.+,capcom-official:mhrise-sunbreak
傀異化した凶殻,Carapace malv. alt.,capcom-official:mhrise-sunbreak
傀異化した凶浄血,Sang dragon malv. affligé,capcom-official:mhrise-sunbreak
傀異化した凶濃血,Sang malv. alt.,capcom-official:mhrise-sunbreak
傀異化した凶爪,Griffe malv. alt.,capcom-official:mhrise-sunbreak
傀異化した凶牙,Croc malv. affligé,capcom-official:mhrise-sunbreak
傀異化した凶翼,Aile malv. affligée+,capcom-official:mhrise-sunbreak
傀異化した凶翼膜,Aile malv. affligée,capcom-official:mhrise-sunbreak
傀異化した凶血,Sang malv. affligé,capcom-official:mhrise-sunbreak
傀異化した凶角,Corne diabolique affligée,capcom-official:mhrise-sunbreak
傀異化した凶重殻,Cortex malv. affligé,capcom-official:mhrise-sunbreak
傀異化した凶重牙,Croc lourd malv. alt.,capcom-official:mhrise-sunbreak
傀異化した凶重骨,Os robustos affligé,capcom-official:mhrise-sunbreak
傀異化した凶鋭牙,Croc malv. affligé+,capcom-official:mhrise-sunbreak
傀異化した凶骨,Os diabolique affligé,capcom-official:mhrise-sunbreak
傀異化した凶鱗,Écaille diabolique affligée,capcom-official:mhrise-sunbreak
傀異化した剛爪,Serre affligée,capcom-official:mhrise-sunbreak
傀異化した厚皮,Peau épaisse affligée,capcom-official:mhrise-sunbreak
傀異化した厚鱗,Éclat affligé,capcom-official:mhrise-sunbreak
傀異化した堅殻,Cuirasse affligée,capcom-official:mhrise-sunbreak
傀異化した堅竜骨,Os dur de monstre affligé,capcom-official:mhrise-sunbreak
傀異化した堅骨,Os dur affligé,capcom-official:mhrise-sunbreak
傀異化した尖爪,Griffe affligée+,capcom-official:mhrise-sunbreak
傀異化した浄濃血,Sang pur affligé,capcom-official:mhrise-sunbreak
傀異化した浄血,Sang dragon affligé,capcom-official:mhrise-sunbreak
傀異化した爪,Griffe affligée,capcom-official:mhrise-sunbreak
傀異化した牙,Croc affligé,capcom-official:mhrise-sunbreak
傀異化した甲殻,Carapace affligée,capcom-official:mhrise-sunbreak
傀異化した皮,Peau affligée,capcom-official:mhrise-sunbreak
傀異化した竜骨,Os de monstre affligé,capcom-official:mhrise-sunbreak
傀異化した血,Sang affligé,capcom-official:mhrise-sunbreak
傀異化した重殻,Cortex affligé,capcom-official:mhrise-sunbreak
傀異化した重牙,Croc lourd affligé,capcom-official:mhrise-sunbreak
傀異化した重竜骨,Os robustos de monstre affligé,capcom-official:mhrise-sunbreak
傀異化した重骨,Os robustos affligé,capcom-official:mhrise-sunbreak
傀異化した鋭牙,Croc affligé+,capcom-official:mhrise-sunbreak
傀異化した骨,Os affligé,capcom-official:mhrise-sunbreak
傀異化した鱗,Écaille affligée,capcom-official:mhrise-sunbreak
傀異原珠,Joyau Anomalie,capcom-official:mhrise-sunbreak
傀異調査チケット,Ticket Anomalie,capcom-official:mhrise-sunbreak
傘鳥のクチバシ,Bec Aknosom,capcom-official:mhrise-sunbreak
傘鳥のトサカ,Crête Aknosom,capcom-official:mhrise-sunbreak
傘鳥の上羽鱗,Plume Aknosom+,capcom-official:mhrise-sunbreak
傘鳥の上鱗,Éc. Aknosom+,capcom-official:mhrise-sunbreak
傘鳥の厚鱗,Éclat Aknosom,capcom-official:mhrise-sunbreak
傘鳥の大トサカ,Crête Aknosom+,capcom-official:mhrise-sunbreak
傘鳥の特上羽鱗,Aigrette Aknosom,capcom-official:mhrise-sunbreak
傘鳥の紅嘴,Bec de feu d'Aknosom,capcom-official:mhrise-sunbreak
傘鳥の羽鱗,Plume Aknosom,capcom-official:mhrise-sunbreak
傘鳥の華鶏冠,Crête de tête Aknosom,capcom-official:mhrise-sunbreak
傘鳥の鱗,Écaille Aknosom,capcom-official:mhrise-sunbreak
傷ついた重古骨,Vieil os abîmé,capcom-official:mhrise-sunbreak
元気ドリンコ,Boisson éner.,capcom-official:mhrise-sunbreak
光蟲,Flashinsecte,capcom-official:mhrise-sunbreak
兵隊のフェロモン,Subst. butineuse,capcom-official:mhrise-sunbreak
冥淵龍の堕翼爪,Griffe de l'Archidémon,capcom-official:mhrise-sunbreak
冥淵龍の昏鉤尾,Queue de l'Archidémon,capcom-official:mhrise-sunbreak
冥淵龍の穿淵爪,Serres de l'Archidémon,capcom-official:mhrise-sunbreak
冥淵龍の背巌殻,Carapace de l'Archidémon,capcom-official:mhrise-sunbreak
冥淵龍の邪角,Pieux de l'Archidémon,capcom-official:mhrise-sunbreak
冰龍の冠角,Corona Velkhana,capcom-official:mhrise-sunbreak
冰龍の剛爪,Serre Velkhana,capcom-official:mhrise-sunbreak
冰龍の剛翼,Égide Velkhana,capcom-official:mhrise-sunbreak
冰龍の重殻,Cortex Velkhana,capcom-official:mhrise-sunbreak
冰龍の零玉,Cristal Velkhana,capcom-official:mhrise-sunbreak
冰龍の靭尾,Fouet Velkhana,capcom-official:mhrise-sunbreak
冷寒ヒヤボックリ,Glaçône givré,capcom-official:mhrise-sunbreak
凍てついた重氷骨,Os dur gelé,capcom-official:mhrise-sunbreak
凍てつく狼重牙,Croc lourd gelé,capcom-official:mhrise-sunbreak
凍寒ヒヤボックリ,Glaçône glacé,capcom-official:mhrise-sunbreak
凍結袋,Poche de glace,capcom-official:mhrise-sunbreak
凝縮された爆腺液,Fluide exp. distillé,capcom-official:mhrise-sunbreak
刻を穿つ矛尾,Queue primordiale,capcom-official:mhrise-sunbreak
刻冥の龍血玉,Sanguine primordiale,capcom-official:mhrise-sunbreak
剛纏獣の剛壁拳,Poing Garangolm,capcom-official:mhrise-sunbreak
剛纏獣の厚鱗,Éclat Garangolm,capcom-official:mhrise-sunbreak
剛纏獣の重殻,Cortex Garangolm,capcom-official:mhrise-sunbreak
剛纏獣の重牙,Croc lourd Garangolm,capcom-official:mhrise-sunbreak
剛纏獣の重鍬尾,Queue-pioche Golm,capcom-official:mhrise-sunbreak
劇烈毒袋,Poche de venin,capcom-official:mhrise-sunbreak
力の爪,Griffe de force,capcom-official:mhrise-sunbreak
力の護符,Amulette force,capcom-official:mhrise-sunbreak
加工跡のある竜骨,Os rainurés,capcom-official:mhrise-sunbreak
加速拡散弾,Tir à frag. Q.,capcom-official:mhrise-sunbreak
加速速射弾,Tir rapide Q.,capcom-official:mhrise-sunbreak
勇気の証,Certif. champion,capcom-official:mhrise-sunbreak
