section,index,jp,repo_fr,capcom_fr,kind
dat/items/name,13041,迅竜の尻尾,Queue Narga,Queue Nargacuga,abbreviation
dat/items/name,13042,迅竜の尾棘,Piqueue Nargacuga,Piqueue Narga.,abbreviation
dat/items/name,13045,迅竜の延髄,Medulla Nargacuga,Medulla Narga.,abbreviation
dat/items/name,13043,迅竜の鋭刃翼,Rasoir Narga,Rasoir Narga.,abbreviation
dat/items/name,13044,迅竜の鋭牙,Croc Narga,Croc Nargacuga+,abbreviation
dat/items/name,524,金獅子の尖爪,Griffe Rajang,Griffe Rajang+,abbreviation
dat/items/name,521,金獅子の尖角,Corne Rajang,Corne Rajang+,abbreviation
dat/items/name,522,金獅子の鋭牙,Croc Rajang,Croc Rajang+,abbreviation
dat/items/name,523,金獅子の黒毛,Fourrure noire Rajang,Four. noire Raj.,abbreviation
dat/items/name,393,雌火竜の上鱗,Eca. Rathian+,Écaille Rathian+,abbreviation
dat/items/name,396,雌火竜の甲殻,Cara. Rathian,Carapace Rathian,abbreviation
dat/items/name,392,雌火竜の鱗,Eca. Rathian,Écaille Rathian,abbreviation
dat/items/name,12011,雷狼竜の天玉,Celemeraude Zin,Célémeraude Zinogre,abbreviation
dat/items/name,12006,雷狼竜の尖角,Corne Zinogre,Corne Zinogre+,abbreviation
dat/items/name,12007,雷狼竜の重殻,Cortex Zino,Cortex Zinogre,abbreviation
dat/items/name,139,麻痺ビン,Fiole de paralysie,F. de paralysie,abbreviation
dat/items/name,526,黄金の毛,Peau d'Or Rajang,Peau d'or Rajang,abbreviation
dat/items/name,13761,黒蝕竜の剛惨爪,Broyeur Gore Magala,Broyeur G. Magala,abbreviation
dat/items/name,13765,黒蝕竜の剛触角,Capteur Gore Magala,Capteur G. Magala,abbreviation
dat/items/name,13759,黒蝕竜の厚鱗,Éclat Gore Magala,Éclat G. Magala,abbreviation
dat/items/name,13763,黒蝕竜の天鱗,Mante Gore Magala,Mante G. Magala,abbreviation
dat/items/name,13762,黒蝕竜の暗黒翼,Éclipse Gore Magala,Éclipse G. Magala,abbreviation
dat/items/name,13760,黒蝕竜の重殻,Cortex Gore Magala,Cortex G. Magala,abbreviation
dat/items/name,30,元気ドリンコ,Boisson d'énergie,Boisson éner.,terminology
dat/items/name,744,勇気の証,Certificat de champion,Certif. champion,terminology
dat/items/name,13060,堅鎧玉,Sphère d'armure dense,Sph. arm. dense,terminology
dat/items/name,13059,尖鎧玉,Sphère d'armure acérée,Sph. arm. acér.,terminology
dat/items/name,13039,迅竜の上鱗,Écaille Nargacuga+,Écaille Narga.+,terminology
dat/items/name,13061,重鎧玉,Sphère d'armure lourde,Sph. arm. lourde,terminology
