jp,fr,occurrences,origin,example
ドゥケ,Duque,75,en-patch,ドゥケヘッド / ドゥケＦヘッド
グラヌ,Granu,75,en-patch,グラヌヘッド / グラヌＦヘッド
オルドル,Ordre,75,en-patch,オルドルヘルム / オルドルＦヘルム
チェニー,Cheni,75,en-patch,チェニーヘルム / チェニーＦヘルム
ミニオム,Miniomu,75,en-patch,ミニオムヘルム / ミニオムＦヘルム
ヴィーチ,Vichi,75,en-patch,ヴィーチヘッド / ヴィーチＦヘッド
カイラ,Kaila,75,en-patch,カイラヘルム / カイラＦヘルム
カバリバ,Kabariba,75,en-patch,カバリバヘルム / カバリバＦヘルム
トルボダ,Toruboda,75,en-patch,トルボダヘッド / トルボダＦヘッド
ハリメノ,Harimeno,75,en-patch,ハリメノヘルム / ハリメノＦヘルム
ガガチュ,Gagachu,75,en-patch,ガガチュピアス / ガガチュＦピアス
ヴァリエ,Valier,75,en-patch,ヴァリエヘッド / ヴァリエＦヘッド
ラース,Lars,75,en-patch,ラースヘッド / ラースＦヘッド
アーベン,Arben,75,en-patch,アーベンヘッド / アーベンＦヘッド
ケラヴノ,Keravuno,75,en-patch,ケラヴノヘッド / ケラヴノＦヘッド
メラルー,Melynx,75,monster,メラルーヘッド / メラルーＦヘッド
アメショ,Tigré,75,francised,アメショヘッド / アメショＦヘッド
チャトラ,Chatla,75,romaji,チャトラヘッド / チャトラＦヘッド
ミケ,,75,unresolved,ミケヘッド / ミケＦヘッド
シロ,,75,unresolved,シロヘッド / シロＦヘッド
チャシロ,Chashiro,75,en-patch,チャシロヘッド / チャシロＦヘッド
クロシロ,Two-tone,75,en-patch,クロシロヘッド / クロシロＦヘッド
蒼皇氷,,75,unresolved,蒼皇氷ヘッド / 蒼皇氷Ｆヘッド
白皇氷,,75,unresolved,白皇氷ヘッド / 白皇氷Ｆヘッド
紅皇氷,,75,unresolved,紅皇氷ヘッド / 紅皇氷Ｆヘッド
クロフィ,Kurofi,75,en-patch,クロフィヘッド / クロフィＦヘッド
チアリム,Chiarim,75,en-patch,チアリムヘッド / チアリムＦヘッド
キュール,,75,unresolved,キュールヘッド / キュールＦヘッド
エギエネ,Eguiene,75,en-patch,エギエネヘッド / エギエネＦヘッド
ヴァクス,Vakusu,75,en-patch,ヴァクスヘッド / ヴァクスＦヘッド
ディオス,Dios,75,en-patch,ディオスヘッド / ディオスＦヘッド
サクフィ,Sakufi,75,en-patch,サクフィヘッド / サクフィＦヘッド
ムルタ,Muruta,75,en-patch,ムルタヘッド / ムルタＦヘッド
ハウラ,Howla,75,en-patch,ハウラヘッド / ハウラＦヘッド
パンセ,Panse,75,en-patch,パンセヘッド / パンセＦヘッド
マリジュ,Mariage,75,francised,マリジュヘッド / マリジュＦヘッド
ユキネ,Yukine,75,en-patch,ユキネヘッド / ユキネＦヘッド
雪ミク,,75,unresolved,雪ミクヘッド / 雪ミクＦヘッド
アデル,Adel,75,en-patch,アデルヘッド / アデルＦヘッド
ロックブーケ,Rocbouquet,75,en-patch,ロックブーケヘッド / ロックブーケＦヘッド
アルカイザー,Alkaiser,75,en-patch,アルカイザーヘッド / アルカイザーＦヘッド
クローディア,Claudia,75,en-patch,クローディアヘッド / クローディアＦヘッド
ヘシュム,Hesyumu,75,en-patch,ヘシュムヘッド / ヘシュムＦヘッド
カサミエ,Kasamie,75,en-patch,カサミエヘッド / カサミエＦヘッド
パシオ,Pashio,75,en-patch,パシオヘルム / パシオＦヘルム
ﾖﾙﾊ二号B型,YoRHa,75,en-patch,ﾖﾙﾊ二号B型ヘッド / ﾖﾙﾊ二号B型Ｆヘッド
ペンレ,Penre,75,en-patch,ペンレヘッド / ペンレＦヘッド
ザッカ,Zakka,75,en-patch,ザッカヘルム / ザッカＦヘルム
ランタナ,Rantana,75,en-patch,ランタナヘルム / ランタナＦヘルム
エリス,Eris,75,en-patch,エリスヘルム / エリスＦヘルム
シャルフ,Sharufu,75,en-patch,シャルフヘルム / シャルフＦヘルム
カマラ,Kamara,75,en-patch,カマラヘルム / カマラＦヘルム
レビン,Levin,75,en-patch,レビンヘルム / レビンＦヘルム
アルフィ,Alfi,75,en-patch,アルフィヘッド / アルフィＦヘッド
カイファ,Kaifa,75,en-patch,カイファヘルム / カイファＦヘルム
ストラザ,Straza,75,en-patch,ストラザヘッド / ストラザＦヘッド
サイネ,Saine,75,en-patch,サイネヘルム / サイネＦヘルム
ウイング,Aile,75,francised,ウイングヘッド / ウイングＦヘッド
ピンビ,Pinbi,75,en-patch,ピンビヘッド / ピンビＦヘッド
プリブ,Pribu,75,en-patch,プリブヘッド / プリブＦヘッド
グレイ,,75,unresolved,グレイヘッド / グレイＦヘッド
ウルピナ,Urpina,75,en-patch,ウルピナヘッド / ウルピナＦヘッド
ノエル,,75,unresolved,ノエルヘッド / ノエルＦヘッド
ビューネイ,Bune,75,en-patch,ビューネイヘッド / ビューネイＦヘッド
シャルル,Sharuru,75,en-patch,シャルルＤヘルム / シャルルヘルム
ディラン,Dylan,75,en-patch,ディランＤヘッド / ディランヘッド
ディブル,,75,unresolved,ディブルＤヘッド / ディブルヘッド
フィンス,Fins,75,en-patch,フィンスＤヘッド / フィンスヘッド
ディンス,Dins,75,en-patch,ディンスＤヘッド / ディンスヘッド
カリス,Charis,75,en-patch,カリスＤヘルム / カリスヘルム
ミリアム,Miriam,75,en-patch,ミリアムＤヘッド / ミリアムヘッド
レニガン,Lenigan,75,en-patch,レニガンＤヘッド / レニガンヘッド
ファビラ,Favila,75,en-patch,ファビラヘッド / ファビラＦヘッド
アリシア,Alicia,75,en-patch,アリシアヘッド / アリシアＦヘッド
ラビウス,Rabius,75,en-patch,ラビウスヘッド / ラビウスＦヘッド
ロクラス,Rocras,75,en-patch,ロクラスヘッド / ロクラスＦヘッド
アリシス,Alisys,75,en-patch,アリシスヘッド / アリシスＦヘッド
ロゥリィ,Loli,75,en-patch,ロゥリィヘッド / ロゥリィＦヘッド
レコリス,Recolis,75,en-patch,レコリスヘッド / レコリスＦヘッド
キリーク,Kireek,75,en-patch,キリークヘッド / キリークＦヘッド
クーナ,Quna,75,en-patch,クーナヘッド / クーナＦヘッド
ディスタ,Dista,75,en-patch,ディスタヘッド / ディスタＦヘッド
イオニア,Ionia,75,en-patch,イオニアヘッド / イオニアＦヘッド
キンコウ,Kinkou,75,en-patch,キンコウヘッド / キンコウＦヘッド
アンブ,Anbu,75,en-patch,アンブヘッド / アンブＦヘッド
フィーネ,,75,unresolved,フィーネヘッド / フィーネＦヘッド
コトナ,Kotona,75,en-patch,コトナヘッド / コトナＦヘッド
フィニス,,75,unresolved,フィニスヘッド / フィニスＦヘッド
フィール,Firl,75,en-patch,フィールヘッド / フィールＦヘッド
ジェムズ,Gems,75,en-patch,ジェムズヘッド / ジェムズＦヘッド
アリシャ,Alisha,75,en-patch,アリシャヘッド / アリシャＦヘッド
リッカ,Ricca,75,en-patch,リッカヘルム / リッカＦヘルム
ケリス,Kelis,75,en-patch,ケリスヘルム / ケリスＦヘルム
ガノス,Plesioth,74,en-patch,ガノスヘルム / ガノスキャップ
デモン,Démon,72,francised,デモンヘッド青 / デモンＦヘッド青
カオス,Chaos,72,francised,カオスヘッド青 / カオスＦヘッド青
ワンス,,71,unresolved,ワンスヘルム / ワンスＦヘルム
ミクセス,Mixes,70,en-patch,ミクセスヘルム / ミクセスＦヘルム
ストロマ,Stroma,70,en-patch,ストロマヘルム / ストロマＦヘルム
イリーク,Iriku,70,en-patch,イリークヘルム / イリークＦヘルム
ルクスト,Luxt,70,en-patch,ルクストヘルム / ルクストＦヘルム
オレウム,Oleum,70,en-patch,オレウムヘルム / オレウムＦヘルム
クラント,Kuranto,70,en-patch,クラントヘルム / クラントＦヘルム
ユプケ,Yupuk,70,en-patch,ユプケヘルム / ユプケＦヘルム
メラギ,Meraginasu,70,en-patch,メラギヘルム / メラギＦヘルム
コルーデ,Coord,70,en-patch,コルーデヘルム / コルーデＦヘルム
レセーガ,Resega,70,en-patch,レセーガヘルム / レセーガＦヘルム
スフォル,Suforu,70,en-patch,スフォルヘルム / スフォルＦヘルム
キニオル,Kinioru,70,en-patch,キニオルヘルム / キニオルＦヘルム
カイオル,Kaioru,70,en-patch,カイオルヘルム / カイオルＦヘルム
ユーリス,Yurisu,70,en-patch,ユーリスヘルム / ユーリスＦヘルム
ポボルム,Pobo,70,en-patch,ポボルムヘルム / ポボルムＦヘルム
ヴァル,Varusa,70,en-patch,ヴァルヘルム / ヴァルＦヘルム
ラピヌ,Lapine,70,en-patch,ラピヌバンド / ラピヌＦバンド
ランヴォ,Ranvuo,70,en-patch,ランヴォヘルム / ランヴォＦヘルム
ニュイ,Nyui,70,en-patch,ニュイヘルム / ニュイＦヘルム
ケイス,Keisu,70,en-patch,ケイスヘルム / ケイスＦヘルム
リュミエ,Lumiere,70,en-patch,リュミエヘルム / リュミエＦヘルム
クレオラ,Cleora,70,en-patch,クレオラヘルム / クレオラＦヘルム
トア,Toa,70,en-patch,トアヘルム / トアＦヘルム
グァン,Guan,70,en-patch,グァンヘッド / グァンＦヘッド
ロホック,Rohokku,70,en-patch,ロホックヘッド / ロホックＦヘッド
ラーヴェ,,70,unresolved,ラーヴェヘルム / ラーヴェＦヘルム
ペレグリ,Pelegri,70,en-patch,ペレグリヘッド / ペレグリＦヘッド
リュバン,Ruban,68,en-patch,リュバンバンド / リュバンＦバンド
ラモール,L'Amore,68,en-patch,ラモールマスク / ラモールＦマスク
ドルチェ,Dolce,68,en-patch,ドルチェマスク / ドルチェＦマスク
レイア,Rathian,65,en-patch,レイアヘルム / レイアキャップ
モノブロス,Monoblos,65,monster,モノブロスヘルム / モノブロスキャップ
デュール,Deyuru,65,en-patch,デュールヘルム / デュールＦヘルム
ファルコ,Falco,65,en-patch,ファルコヘルム / ファルコＦヘルム
アビット,Abitto,65,en-patch,アビットヘッド / アビットＦヘッド
ハウクス,Howx,65,en-patch,ハウクスヘルム / ハウクスＦヘルム
レイル,,65,unresolved,レイルヘルム / レイルＦヘルム
リブリー,Riburi,65,en-patch,リブリーヘッド / リブリーＦヘッド
リーデレ,Ridere,65,en-patch,リーデレヘルム / リーデレＦヘルム
リエット,Émeute,65,francised,リエットヘルム / リエットＦヘルム
ルターレ,Rutare,65,en-patch,ルターレヘルム / ルターレＦヘルム
キュビィ,Cubie,65,en-patch,キュビィヘルム / キュビィＦヘルム
ラトリア,Latria,65,en-patch,ラトリアヘッド / ラトリアＦヘッド
ケモル,Kemor,65,en-patch,ケモルヘルム / ケモルＦヘルム
コンタオ,Kontao,65,en-patch,コンタオヘッド / コンタオＦヘッド
シャンディ,,65,unresolved,シャンディヘッド / シャンディＦヘッド
ハイメタ,,64,unresolved,ハイメタヘルム / ハイメタキャップ
メラン,Melan,64,en-patch,メランヘッド / メランＦヘッド
ディール,Diru,64,en-patch,ディールヘッド / ディールＦヘッド
エンプレス,Impératrice,63,francised,エンプレスマスク / エンプレスＦマスク
カイザー,,63,unresolved,カイザーマスク / カイザーＦマスク
ルース,,62,unresolved,ルースヘッド / ルースＦヘッド
ボーン,Os,60,francised,ボーンヘルム / ボーンキャップ
ランポス,Velociprey,60,monster,ランポスヘルム / ランポスキャップ
ランゴ,Vespoid,60,en-patch,ランゴヘルム / ランゴキャップ
タロス,Hornetaur,60,en-patch,タロスヘルム / タロスキャップ
ガルルガ,Garuga,60,en-patch,ガルルガヘルム / ガルルガキャップ
リルス,Lils,60,en-patch,リルスヘッド / リルスキャップ
テリオグ,Teriog,60,romaji,テリオグヘルム / テリオグキャップ
オディバ,Odiva,60,en-patch,オディバヘルム / オディバＦヘルム
ディボア,Diboa,60,en-patch,ディボアヘルム / ディボアＦヘルム
アルテラ,Altera,60,en-patch,アルテラヘルム / アルテラＦヘルム
ノヴィー,,60,unresolved,ノヴィーヘルム / ノヴィーＦヘルム
リグイ,Pisces,60,en-patch,リグイヘルム / リグイＦヘルム
サーブル,Sabl,60,romaji,サーブルピアス / サーブルＦピアス
ヒストリア,Historia,60,en-patch,ヒストリアヘッド / ヒストリアＦヘッド
調査兵団,,60,unresolved,調査兵団ヘッド / 調査兵団Ｆヘッド
訓練兵団,Training,60,en-patch,訓練兵団ヘッド / 訓練兵団Ｆヘッド
ランデグ,Randeg,60,romaji,ランデグヘルム / ランデグＦヘルム
エンドレ,Endre,60,en-patch,エンドレヘルム / エンドレＦヘルム
ベンディ,Bendi,60,en-patch,ベンディヘルム / ベンディＦヘルム
トゥールム,Trume,60,en-patch,トゥールムヘルム / トゥールムＦヘルム
グレア,Gureado,60,en-patch,グレアヘルム / グレアＦヘルム
ブロンテ,Bronte,60,en-patch,ブロンテヘッド / ブロンテＦヘッド
ソレーネ,Solene,60,en-patch,ソレーネヘッド / ソレーネＦヘッド
初号機,Unit-,60,en-patch,初号機ヘッド / 初号機Ｆヘッド
零号機,Unit-,60,en-patch,零号機ヘッド / 零号機Ｆヘッド
トイスト,Toist,60,romaji,トイストヘッド / トイストＦヘッド
シルティ,Shiruti,60,en-patch,シルティヘッド / シルティＦヘッド
Ｍark.０６,Mark,60,en-patch,Ｍark.０６ヘッド / Ｍark.０６Ｆヘッド
２号機,Unit-,60,en-patch,２号機ヘッド / ２号機Ｆヘッド
ドラギュ,Doragyurosu,60,en-patch,ドラギュＧヘルム / ドラギュGFヘルム
サルタ,Salta,60,en-patch,サルタヘッド / サルタＦヘッド
カイジ,Kaiji,60,en-patch,カイジマスク / カイジＦマスク
美心,Mikoko,60,en-patch,美心マスク / 美心Ｆマスク
テリュオ,Teryuo,60,romaji,テリュオヘッド / テリュオＦヘッド
スフレ,,60,unresolved,スフレヘッド / スフレＦヘッド
ソルフレア,Solflare,60,en-patch,ソルフレアヘッド / ソルフレアＦヘッド
ヴォン,Voljang,60,en-patch,ヴォンヘルム / ヴォンＦヘルム
雅,,60,unresolved,雅ヘッド / 雅Ｆヘッド
タルタ,Taruta,60,en-patch,タルタヘッド / タルタＦヘッド
ルルタ,Ruruta,60,en-patch,ルルタヘッド / ルルタＦヘッド
きんねこ服,,58,unresolved,きんねこ服マスク / きんねこ服Ｆヘッド
スタリナ,Starina,58,en-patch,スタリナヘッド / スタリナＦヘッド
ぎんねこ服,,58,unresolved,ぎんねこ服マスク / ぎんねこ服Ｆヘッド
ミラド,Mirado,58,en-patch,ミラドヘッド / ミラドＦヘッド
ピラータ,Pirata,58,en-patch,ピラータヘッド / ピラータＦヘッド
ゼロイ,Zeroi,58,en-patch,ゼロイヘッド / ゼロイＦヘッド
ウーコン,Shoko,58,en-patch,ウーコンヘッド / ウーコンＦヘッド
ニンバス,,58,unresolved,ニンバスヘッド / ニンバスＦヘッド
リオハート,Rath,55,en-patch,リオハートヘルム / リオハートキャップ
リオソウル,Rath,55,en-patch,リオソウルヘルム / リオソウルキャップ
モノデビル,Monodevil,55,en-patch,モノデビルヘルム / モノデビルキャップ
フレイム,Flamme,54,francised,フレイムマスク / フレイムＦマスク
聖王,,54,unresolved,聖王ヘッド / 聖王Ｆヘッド
英雄王,,54,unresolved,英雄王ヘッド / 英雄王Ｆヘッド
ルワージュ,Rwaju,54,romaji,ルワージュヘッド / ルワージュＦヘッド
ノメル,Nomel,54,romaji,ノメルヘッド / ノメルＦヘッド
フロル,Furoru,54,en-patch,フロルヘッド / フロルＦヘッド
ブルック,Burukku,53,monster,ブルックヘッド / ブルックＦヘッド
ゴルック,Gorukku,53,en-patch,ゴルックヘッド / ゴルックＦヘッド
シルック,Shirukku,53,en-patch,シルックヘッド / シルックＦヘッド
ノルック,Norukku,53,en-patch,ノルックヘッド / ノルックＦヘッド
ハンター,Hunter's,50,en-patch,ハンターヘルム / ハンターキャップ
バトル,Bataille,50,francised,バトルヘルム / バトルキャップ
ピスティス,Pistis,50,en-patch,ピスティスＦヘッド / ピスティスＦハット
アビオ,Abiorugu,50,en-patch,アビオヘルム / アビオＦヘルム
カカブ,Kakabu,50,en-patch,カカブヘッド / カカブキャップ
アルル,Aruru,50,en-patch,アルルヘッド / アルルＦヘッド
レギュクス,Regyukusu,50,en-patch,レギュクスＦヘッド / レギュクスＦマスク
エミット,Emitt,50,romaji,エミットヘルム / エミットＦヘルム
ヴェルフ,Welf,50,en-patch,ヴェルフFZヘルム / ヴェルフHCヘルム
マグシア,Gougarf,50,en-patch,マグシアＧヘルム / マグシアGFヘルム
ディオレ,Diore,50,en-patch,ディオレヘルム / ディオレＦヘルム
ジンオウ,Zinogre,50,en-patch,ジンオウヘルム / ジンオウＧヘルム
バンギス,Vangis,50,en-patch,バンギスヘルム / バンギスＧヘルム
