index,source,target
257,ジストレルレッグ,
258,デュオグリーヴ,
259,スマートレッグ,
260,ストレングスレッグ,
261,ブートアップレッグ,
262,ユウェネスレッグ,
263,欠番,
264,欠番,
265,エアリアルレッグ,
266,ジストレッグ,
267,欠番,
268,エクストラレッグ,
269,ウナペルトレッグ,
270,キューラーレッグ,
271,欠番,
272,欠番,
273,レックスグリーヴ,Grèves Tigrex
274,レックスレギンス,Jambières Tigrex
275,レックスＳグリーヴ,Grèves Tigrex S
276,レックスＳレギンス,Jambières Tigrex S
277,パピメルガンバ,
278,パピメルフェムル,
279,パピメルＳガンバ,
280,パピメルＳフェムル,
281,アカムトケマル,
282,アカムトチケル,
283,ウナペルトＦレッグ,
284,あかねこ服Ｆブーツ,
285,メルホアライース,
286,メルホアＵライース,
287,マカルパパンツ,
288,マカルパＵパンツ,
289,オウビートガンバ,
290,オウビートフェムル,
291,オウビートＳガンバ,
292,オウビートＳフェムル,
293,デスギアフェルゼ,
294,デスギアアヴィレ,
295,デスギアＳフェルゼ,
296,デスギアＳアヴィレ,
297,マフモフブーツ,Bottes Mafumofu
298,マフモフＳブーツ,Bottes Mafumofu S
299,クシャナＦペイル,
300,クシャナＦハディ,
301,カイザーＦグリーヴ,
302,カイザーＦレギンス,
303,ミヅハ魁【具足】,
304,トヨタマ魁【具足】,
305,金剛・魁【具足】,
306,不動・魁【具足】,
307,夜叉・魁【御足】,
308,修羅・魁【御足】,
309,エンプレスＦグリーヴ,Grèves Impératrice F
310,エンプレスＦレギンス,Jambières Impératrice F
311,金色ノ袴・魁,
312,黒子ノ足袋・魁,
313,ガルルガＦグリーヴ,Grèves Garuga F
314,ガルルガＦレギンス,Jambières Garuga F
315,クシャナＦペイル,
316,クシャナＦハディ,
317,カイザーＦグリーヴ,
318,カイザーＦレギンス,
319,ミヅハ魁【具足】,
320,トヨタマ魁【具足】,
321,金剛・魁【具足】,
322,不動・魁【具足】,
323,夜叉・魁【御足】,
324,修羅・魁【御足】,
325,エンプレスＦグリーヴ,Grèves Impératrice F
326,エンプレスＦレギンス,Jambières Impératrice F
327,金色ノ袴・魁,
328,黒子ノ足袋・魁,
329,ガルルガＦグリーヴ,Grèves Garuga F
330,ガルルガＦレギンス,Jambières Garuga F
331,ラヴァＵグリーヴ,Grèves Lavasioth U
332,ラヴァＵレギンス,Jambières Lavasioth U
333,ホワイトメタルブーツ,Bottes Métal blanc
334,セレストグリーヴ,Grèves Celeste
335,シエルディバイダー,
336,コムラダブーツ【赤】,Bottes Comrada [赤]
337,コムラダブーツ【青】,Bottes Comrada [青]
338,コムラダブーツ【緑】,Bottes Comrada [緑]
339,コムラダブーツ【橙】,Bottes Comrada [橙]
340,ダミー,
341,ダミー,
342,エスピナフェルゼ,
343,エスピナアヴィレ,
344,エスピナＦフェルゼ,
345,エスピナＦアヴィレ,
346,アスールグリーヴ,Grèves Azul
347,アスールレギンス,Jambières Azul
348,アメザリグリーヴ,Grèves Amezari
349,アメザリレギンス,Jambières Amezari
350,プロミスブーツ【白】,Bottes Promesse [白]
351,プロミスブーツ【青】,Bottes Promesse [青]
352,プロミスブーツ【紫】,Bottes Promesse [紫]
353,プロミスブーツ【黄】,Bottes Promesse [黄]
354,ブリスブーツ【白】,Bottes Félicité [白]
355,ブリスブーツ【青】,Bottes Félicité [青]
356,ブリスブーツ【紫】,Bottes Félicité [紫]
357,ブリスブーツ【黄】,Bottes Félicité [黄]
358,ブリスＦブーツ【白】,Bottes Félicité F [白]
359,ブリスＦブーツ【青】,Bottes Félicité F [青]
360,ブリスＦブーツ【紫】,Bottes Félicité F [紫]
361,ブリスＦブーツ【黄】,Bottes Félicité F [黄]
362,ロジウェアレッグ,
363,バトルレギンスSP青,
364,バトルレギンスSP黄,
365,バトルレギンスSP紫,
366,レイアグリーヴSP青,
367,レイアグリーヴSP赤,
368,レイアグリーヴSP黒,
369,フルフルフットSP青,
370,フルフルフットSP緑,
371,フルフルフットSP黒,
372,エスピナグリーヴSP赤,
373,エスピナグリーヴSP青,
374,エスピナグリーヴSP黄,
375,エスピナレギンスSP赤,
376,エスピナレギンスSP青,
377,エスピナレギンスSP黄,
378,ノワールグリーヴ,
379,ガーディブーツSP白,
380,ガーディブーツSP黒,
381,ガーディブーツSP紫,
382,ヒーラーソックスSP青,
383,ヒーラーソックスSP白,
384,ヒーラーソックスSP黄,
385,マフモフブーツSP赤,
386,マフモフブーツSP黄,
387,マフモフブーツSP紫,
388,バサルレギンスSP赤,
389,バサルレギンスSP黒,
390,バサルレギンスSP黄,
391,アプカルグリーヴ,Grèves Apkallu
392,アプカルレギンス,Jambières Apkallu
393,ゴスペルグリーヴ,
394,ゴスペルレギンス,
395,エスピナＵフェルゼ,
396,エスピナＵアヴィレ,
397,ブランゴグリーヴSP黄,
398,ブランゴグリーヴSP青,
399,ブランゴグリーヴSP黒,
400,金色ノ袴SP白,
401,金色ノ袴SP紫,
402,金色ノ袴SP緑,
403,グラビドレギンスSP緑,
404,グラビドレギンスSP紫,
405,グラビドレギンスSP赤,
406,アクラグリーヴ,Grèves Akura
407,アクラグリーヴ黄,Grèves Akura jaunes
408,アクラグリーヴ蒼,Grèves Akura azur
409,アクラグリーヴ紅,Grèves Akura cramoisies
410,アクラレギンス,Jambières Akura
411,アクラレギンス黄,Jambières Akura jaunes
412,アクラレギンス蒼,Jambières Akura azur
413,アクラレギンス紅,Jambières Akura cramoisies
414,アクラＦグリーヴ,Grèves Akura F
415,アクラＦグリーヴ黄,Grèves Akura F jaunes
416,アクラＦグリーヴ蒼,Grèves Akura F azur
417,アクラＦグリーヴ紅,Grèves Akura F cramoisies
418,アクラＦレギンス,Jambières Akura F
419,アクラＦレギンス黄,Jambières Akura F jaunes
420,アクラＦレギンス蒼,Jambières Akura F azur
421,アクラＦレギンス紅,Jambières Akura F cramoisies
422,エクエスグリーヴ,Grèves Eques
423,エクエスレギンス,Jambières Eques
424,エクエスグリーヴ改,
425,エクエスレギンス改,
426,エクエスＦグリーヴ,Grèves Eques F
427,エクエスＦレギンス,Jambières Eques F
428,星祭の足袋・夏【赤】,
429,星祭の足袋・夏【青】,
430,星祭の足袋・夏【黒】,
431,星祭の足袋・夏【白】,
432,七夕の足袋・夏【赤】,
433,七夕の足袋・夏【青】,
434,七夕の足袋・夏【黒】,
435,七夕の足袋・夏【白】,
436,星祭の足袋・織【赤】,
437,星祭の足袋・織【青】,
438,星祭の足袋・織【黒】,
439,星祭の足袋・織【白】,
440,七夕の足袋・織【赤】,
441,七夕の足袋・織【青】,
442,七夕の足袋・織【黒】,
443,七夕の足袋・織【白】,
444,星祭の足袋・天【赤】,
445,星祭の足袋・天【青】,
446,星祭の足袋・天【黒】,
447,星祭の足袋・天【白】,
448,七夕の足袋・天【赤】,
449,七夕の足袋・天【青】,
450,七夕の足袋・天【黒】,
451,七夕の足袋・天【白】,
452,ハイメタグリーヴSP黒,
453,ハイメタグリーヴSP青,
454,ハイメタグリーヴSP黄,
455,Ｓ・ソルグリーヴSP赤,
456,Ｓ・ソルグリーヴSP紫,
457,Ｓ・ソルグリーヴSP黒,
458,ガルルガレギンスSP白,
459,ガルルガレギンスSP緑,
460,ガルルガレギンスSP赤,
461,ルーキーブーツ【白】,Bottes Recrue [白]
462,ルーキーブーツ【赤】,Bottes Recrue [赤]
463,ルーキーブーツ【緑】,Bottes Recrue [緑]
464,ヒプノＳグリーヴ,Grèves Hypnoc S
465,ヒプノＳレギンス,Jambières Hypnoc S
466,プロギアブーツ,Bottes Purogia
467,オラシオンブーツ,Bottes Oracion
468,レクイエムブーツ,
469,アクラＵグリーヴ,Grèves Akura U
470,アクラＵグリーヴ黄,Grèves Akura U jaunes
471,アクラＵグリーヴ蒼,Grèves Akura U azur
472,アクラＵグリーヴ紅,Grèves Akura U cramoisies
473,アクラＵレギンス,Jambières Akura U
474,アクラＵレギンス黄,Jambières Akura U jaunes
475,アクラＵレギンス蒼,Jambières Akura U azur
476,アクラＵレギンス紅,Jambières Akura U cramoisies
477,メラングリーヴ,Grèves Melan
478,メランレギンス,Jambières Melan
479,ルージュグリーヴ,
480,マギサフット・赤,Chausses Magisa rouges
481,マギサフット・黒,Chausses Magisa noires
482,マギサフット・緑,Chausses Magisa vertes
483,マギサフット・白,Chausses Magisa blanches
484,マギサフット・青,Chausses Magisa bleues
485,ウィザーブーツ・赤,Bottes Wither rouges
486,ウィザーブーツ・黒,Bottes Wither noires
487,ウィザーブーツ・緑,Bottes Wither vertes
488,ウィザーブーツ・白,Bottes Wither blanches
489,ウィザーブーツ・青,Bottes Wither bleues
490,マギサＦフット・赤,Chausses Magisa F rouges
491,マギサＦフット・黒,Chausses Magisa F noires
492,マギサＦフット・緑,Chausses Magisa F vertes
493,マギサＦフット・白,Chausses Magisa F blanches
494,マギサＦフット・青,Chausses Magisa F bleues
495,ウィザーＦブーツ・赤,Bottes Wither F rouges
496,ウィザーＦブーツ・黒,Bottes Wither F noires
497,ウィザーＦブーツ・緑,Bottes Wither F vertes
498,ウィザーＦブーツ・白,Bottes Wither F blanches
499,ウィザーＦブーツ・青,Bottes Wither F bleues
500,クロウリーフット・赤,
501,クロウリーフット・黒,
502,クロウリーフット・緑,
503,クロウリーフット・白,
504,クロウリーフット・青,
505,ファウストブーツ・赤,
506,ファウストブーツ・黒,
507,ファウストブーツ・緑,
508,ファウストブーツ・白,
509,ファウストブーツ・青,
510,クシャナペイルSP赤,
511,クシャナペイルSP黄,
512,クシャナペイルSP緑,
513,クシャナハディSP赤,
514,クシャナハディSP黄,
515,クシャナハディSP緑,
516,キリンレガースSP赤,
517,キリンレガースSP紫,
518,キリンレガースSP黒,
519,キリンブーツSP赤,
520,キリンブーツSP紫,
521,キリンブーツSP黒,
522,ストレガグリーヴ,Grèves Strega
523,ストレガレギンス,Jambières Strega
524,ストレガグリーヴ改,
525,ストレガレギンス改,
526,ストレガＦグリーヴ,Grèves Strega F
527,ストレガＦレギンス,Jambières Strega F
528,フルフルＬグリーヴ,Grèves Khezu L
529,ガレオスＬグリーヴ,Grèves Cephalos L
530,ギザミＬグリーヴ,Grèves Ceanataur L
531,レウスＬグリーヴ,Grèves Rathalos L
532,マフモフＬブーツ,Bottes Mafumofu L
533,あかねこ服ブーツ,
534,アミティエフット,Chausses Amitie
535,アミティエブーツ,Bottes Amitie
536,バサルＬレギンス,Jambières Basarios L
537,ゲリョスＬレギンス,Jambières Gypceros L
538,ガーディアンＲブーツ,Bottes Gardien R
539,ヒーラーＲソックス,
540,ハンターＲグリーヴ,Grèves Hunter's R
541,リオハートＲグリーヴ,Grèves Rath R
542,ザザミＲグリーヴ,Grèves Hermitaur R
543,アミティエＦフット,Chausses Amitie F
544,アミティエＦブーツ,Bottes Amitie F
545,キューラーＦレッグ,
546,ガーディアンＲガンバ,
547,ヒーラーＲブーツ,Bottes Guérisseur R
548,クアッドグリーヴＣ,
549,クアッドグリーヴ,
550,ベルグリーヴ,Grèves Beru
551,ベルレギンス,Jambières Beru
552,ベルＦグリーヴ,Grèves Beru F
553,ベルＦレギンス,Jambières Beru F
554,リアンフット・青,Chausses Rian bleues
555,リアンブーツ・青,Bottes Rian bleues
556,リアンフット・赤,Chausses Rian rouges
557,リアンブーツ・赤,Bottes Rian rouges
558,リアンフット・黒,Chausses Rian noires
559,リアンブーツ・黒,Bottes Rian noires
560,リアンフット・白,Chausses Rian blanches
561,リアンブーツ・白,Bottes Rian blanches
562,リアンＦフット・青,Chausses Rian F bleues
563,リアンＦブーツ・青,Bottes Rian F bleues
564,リアンＦフット・赤,Chausses Rian F rouges
565,リアンＦブーツ・赤,Bottes Rian F rouges
566,リアンＦフット・黒,Chausses Rian F noires
567,リアンＦブーツ・黒,Bottes Rian F noires
568,リアンＦフット・白,Chausses Rian F blanches
569,リアンＦブーツ・白,Bottes Rian F blanches
570,カイザーグリーヴSP白,
571,カイザーグリーヴSP黒,
572,カイザーグリーヴSP緑,
573,カイザーレギンスSP白,
574,カイザーレギンスSP黒,
575,カイザーレギンスSP緑,
576,ザザミグリーヴSP青,
577,ザザミグリーヴSP白,
578,ザザミグリーヴSP紫,
579,クックＬグリーヴ,Grèves Kut-Ku L
580,ゲリョスＬグリーヴ,Grèves Gypceros L
581,イーオスＬグリーヴ,Grèves Ioprey L
582,レイアＬグリーヴ,Grèves Rathian L
583,バサルＬグリーヴ,Grèves Basarios L
584,レウスＬレギンス,Jambières Rathalos L
585,モノブロスＬレギンス,Jambières Monoblos L
586,メルホアＲライース,
587,ハイメタＲグリーヴ,
588,ディアブロＲグリーヴ,Grèves Diablos R
589,ブランゴＲグリーヴ,Grèves Blango R
590,ラヴァＲグリーヴ,Grèves Lavasioth R
591,ギアノスＲレギンス,Jambières Giaprey R
592,バトルＲレギンス,Jambières Bataille R
593,ヒプノルータレッグ,
594,ヒプノルータブーツ,
595,ガルーダレッグ,
596,ガルーダブーツ,Bottes Garuda
597,エクストラＦレッグ,
598,パピメルＬガンバ,
599,ヒプノＲグリーヴ,Grèves Hypnoc R
600,ディジギアブーツ,Bottes Digi
601,プリエールブーツ,Bottes Priere
602,サルバシオンブーツ,Bottes Salvacion
603,シカリの具足,
604,シカリの具足・魁,
605,Ｇ・ガードＲブーツ蒼,
606,アルマフット・黒,Chausses Alma noires
607,アルマブーツ・黒,Bottes Alma noires
608,アルマフット・白,Chausses Alma blanches
609,アルマブーツ・白,Bottes Alma blanches
610,アルマフット・青,Chausses Alma bleues
611,アルマブーツ・青,Bottes Alma bleues
612,アルマフット・茶,Chausses Alma brunes
613,アルマブーツ・茶,Bottes Alma brunes
614,オルデンフット,Chausses Orden
615,オルデンブーツ,Bottes Orden
616,アルマＦフット・黒,Chausses Alma F noires
617,アルマＦブーツ・黒,Bottes Alma F noires
618,アルマＦフット・白,Chausses Alma F blanches
619,アルマＦブーツ・白,Bottes Alma F blanches
620,アルマＦフット・青,Chausses Alma F bleues
621,アルマＦブーツ・青,Bottes Alma F bleues
622,アルマＦフット・茶,Chausses Alma F brunes
623,アルマＦブーツ・茶,Bottes Alma F brunes
624,オルデンＦフット,Chausses Orden F
625,オルデンＦブーツ,Bottes Orden F
626,エス・クェラレッグ,
627,エス・クェラブーツ,Bottes Es
628,パンデウムレッグ,
629,パンデウムブーツ,Bottes Pandeum
630,コムラダブーツSP白,
631,コムラダブーツSP青,
632,コムラダブーツSP黒,
633,しろねこ服Ｆブーツ,
634,デスギアＬフェルゼ,
635,クロオビＬグリーヴ,
636,バトルＬグリーヴ,Grèves Bataille L
637,レックスＬグリーヴ,Grèves Tigrex L
638,フルフルＲグリーヴ,Grèves Khezu R
639,リオソウルＲグリーヴ,Grèves Rath R
640,ギアノスＲグリーヴ,Grèves Giaprey R
641,Ｇ・ガードＲブーツ蒼,
642,フルフルＬレギンス,Jambières Khezu L
643,イーオスＲレギンス,Jambières Ioprey R
644,コムラダブーツSP黄,
645,プロクスグリーヴ,Grèves Purokusu
646,プロクスＦグリーヴ,Grèves Purokusu F
647,クレネスグリーヴ,Grèves Kurenesu
648,クレネスＦグリーヴ,Grèves Kurenesu F
649,スィーニグリーヴ,Grèves Suini
650,スィーニＦグリーヴ,Grèves Suini F
651,グラースブーツ,Bottes Guraasu
652,グラースＦブーツ,Bottes Guraasu F
653,フォルトゥグリーヴ,Grèves Forutu
654,フォルトゥＦグリーヴ,Grèves Forutu F
655,ファキルグリーヴ,Grèves Fakiru
656,ファキルＦグリーヴ,Grèves Fakiru F
657,バラバングリーヴ,Grèves Baraban
658,バラバンＦグリーヴ,Grèves Baraban F
659,スフェラブーツ,Bottes Sufera
660,スフェラＦブーツ,Bottes Sufera F
661,パリアグリーヴ,Grèves Paria
662,パリアＦグリーヴ,Grèves Paria F
663,パリアレギンス,Jambières Paria
664,パリアＦレギンス,Jambières Paria F
665,ヒプノリアレッグ,
666,ヒプノリアブーツ,Bottes Hypnolia
667,フィアラルレッグ,
668,フィアラルブーツ,Bottes Féral
669,鬼神ノ足枷,
670,ラスタ教官脚,
671,童子ノ足枷,
672,ダミー,
673,イクスフット・白,Chausses Ix blanches
674,イクスＦフット・白,Chausses Ix F blanches
675,イクスブーツ・白,Bottes Ix blanches
676,イクスＦブーツ・白,Bottes Ix F blanches
677,イクスフット・赤,Chausses Ix rouges
678,イクスＦフット・赤,Chausses Ix F rouges
679,イクスブーツ・赤,Bottes Ix rouges
680,イクスＦブーツ・赤,Bottes Ix F rouges
681,イクスフット・青,Chausses Ix bleues
682,イクスＦフット・青,Chausses Ix F bleues
683,イクスブーツ・青,Bottes Ix bleues
684,イクスＦブーツ・青,Bottes Ix F bleues
685,イクスフット・黒,Chausses Ix noires
686,イクスＦフット・黒,Chausses Ix F noires
687,イクスブーツ・黒,Bottes Ix noires
688,イクスＦブーツ・黒,Bottes Ix F noires
689,トランスフット,Chausses Transe
690,トランスＦフット,Chausses Transe F
691,トランスブーツ,Bottes Transe
692,トランスＦブーツ,Bottes Transe F
693,ミヅハ【具足】SP青,
694,ミヅハ【具足】SP赤,
695,ミヅハ【具足】SP黄,
696,トヨタマ【具足】SP青,
697,トヨタマ【具足】SP赤,
698,トヨタマ【具足】SP黄,
699,暁丸【具足】SP赤,
700,暁丸【具足】SP紫,
701,暁丸【具足】SP白,
702,凛【袴】SP黒,
703,凛【袴】SP紫,
704,凛【袴】SP白,
705,ハンターＬグリーヴ,Grèves Hunter's L
706,キリンＬレガース,
707,モノブロスＬグリーヴ,Grèves Monoblos L
