index,source,target
250,ラヴァＳレジスト,Veste Lavasioth S
251,ギアノスＵメイル,Cotte Giaprey U
252,ギアノスＵレジスト,Veste Giaprey U
253,しろねこ服スーツ,
254,くろねこ服スーツ,
255,きんねこ服スーツ,
256,ゴシックプレート,
257,ゴシックＦプレート,
258,ベイルブリガンテス,
259,コムラドメイル【猩】,Cotte Camarade [猩]
260,ジストレルベスト,Gilet Jisutoreru
261,デュオメイル,
262,スマートベスト,
263,ストレングスボディ,
264,ブートアップベスト,
265,ユウェネスベスト,Gilet Yuenesu
266,欠番,
267,欠番,
268,エアリアルベスト,Gilet Aérien
269,ジストベスト,Gilet Giste
270,欠番,
271,エクストラベスト,
272,ウナペルトベスト,
273,キューラーベスト,Gilet Kyuura
274,欠番,
275,欠番,
276,レックスメイル,Cotte Tigrex
277,レックスレジスト,Veste Tigrex
278,レックスＳメイル,Cotte Tigrex S
279,レックスＳレジスト,Veste Tigrex S
280,パピメルペット,
281,パピメルペクトス,
282,パピメルＳペット,
283,パピメルＳペクトス,
284,アカムトウルンテ,
285,アカムトウルンペ,
286,ウナペルトＦベスト,
287,欠番,
288,メルホアＵトロンコ,
289,マカルパＵペプラム,
290,ビストロＵベスト,
291,オウビートペット,
292,オウビートペクトス,
293,オウビートＳペット,
294,オウビートＳペクトス,
295,デスギアムスケル,
296,デスギアケミュート,
297,デスギアＳムスケル,
298,デスギアＳケミュート,
299,マフモフジャケット,
300,マフモフＳジャケット,
301,クシャナＦディール,
302,クシャナＦバダル,
303,カイザーＦメイル,
304,カイザーＦレジスト,
305,ミヅハ魁【胸当て】,
306,トヨタマ魁【胸当て】,
307,金剛・魁【胴当て】,
308,不動・魁【胴当て】,
309,夜叉・魁【羽衣】,
310,修羅・魁【羽衣】,
311,エンプレスＦメイル,Cotte Impératrice F
312,エンプレスＦレジスト,Veste Impératrice F
313,金色ノ羽織・魁,
314,黒子ノ装束・魁,
315,ガルルガＦメイル,Cotte Garuga F
316,ガルルガＦレジスト,Veste Garuga F
317,クシャナＦディール,
318,クシャナＦバダル,
319,カイザーＦメイル,
320,カイザーＦレジスト,
321,ミヅハ魁【胸当て】,
322,トヨタマ魁【胸当て】,
323,金剛・魁【胴当て】,
324,不動・魁【胴当て】,
325,夜叉・魁【羽衣】,
326,修羅・魁【羽衣】,
327,エンプレスＦメイル,Cotte Impératrice F
328,エンプレスＦレジスト,Veste Impératrice F
329,金色ノ羽織・魁,
330,黒子ノ装束・魁,
331,ガルルガＦメイル,Cotte Garuga F
332,ガルルガＦレジスト,Veste Garuga F
333,ラヴァＵメイル,Cotte Lavasioth U
334,ラヴァＵレジスト,Veste Lavasioth U
335,ホワイトメタルメイル,Cotte Métal blanc
336,セレストプレート,
337,シエルブリガンテス,
338,コムラダメイル【赤】,Cotte Comrada [赤]
339,コムラダメイル【青】,Cotte Comrada [青]
340,コムラダメイル【緑】,Cotte Comrada [緑]
341,コムラダメイル【橙】,Cotte Comrada [橙]
342,ダミー,
343,ダミー,
344,エスピナムスケル,
345,エスピナケミュート,
346,エスピナＦムスケル,
347,エスピナＦケミュート,
348,アスールジャケット,
349,アスールスーツ,Combinaison Azul
350,アメザリメイル,Cotte Amezari
351,アメザリスキン,
352,プロミスメイル【白】,Cotte Promesse [白]
353,プロミスメイル【青】,Cotte Promesse [青]
354,プロミスメイル【紫】,Cotte Promesse [紫]
355,プロミスメイル【黄】,Cotte Promesse [黄]
356,ブリスメイル【白】,Cotte Félicité [白]
357,ブリスメイル【青】,Cotte Félicité [青]
358,ブリスメイル【紫】,Cotte Félicité [紫]
359,ブリスメイル【黄】,Cotte Félicité [黄]
360,ブリスＦメイル【白】,Cotte Félicité F [白]
361,ブリスＦメイル【青】,Cotte Félicité F [青]
362,ブリスＦメイル【紫】,Cotte Félicité F [紫]
363,ブリスＦメイル【黄】,Cotte Félicité F [黄]
364,ロジウェアベスト,
365,バトルレジストSP青,
366,バトルレジストSP黄,
367,バトルレジストSP紫,
368,レイアメイルSP青,
369,レイアメイルSP赤,
370,レイアメイルSP黒,
371,フルフルメイルSP青,
372,フルフルメイルSP緑,
373,フルフルメイルSP黒,
374,エスピナメイルSP赤,
375,エスピナメイルSP青,
376,エスピナメイルSP黄,
377,エスピナレジストSP赤,
378,エスピナレジストSP青,
379,エスピナレジストSP黄,
380,ノワールジャケット,
381,ガーディスーツSP白,
382,ガーディスーツSP黒,
383,ガーディスーツSP紫,
384,ヒーラーベストSP青,
385,ヒーラーベストSP白,
386,ヒーラーベストSP黄,
387,マフモフスーツSP赤,
388,マフモフスーツSP黄,
389,マフモフスーツSP紫,
390,バサルレジストSP赤,
391,バサルレジストSP黒,
392,バサルレジストSP黄,
393,アプカルメイル,Cotte Apkallu
394,アプカルレジスト,Veste Apkallu
395,ゴスペルメイル,
396,ゴスペルレジスト,
397,エスピナＵムスケル,
398,エスピナＵケミュート,
399,ブランゴメイルSP黄,
400,ブランゴメイルSP青,
401,ブランゴメイルSP黒,
402,金色ノ羽織SP白,
403,金色ノ羽織SP紫,
404,金色ノ羽織SP緑,
405,グラビドレジストSP緑,
406,グラビドレジストSP紫,
407,グラビドレジストSP赤,
408,アクラメイル,Cotte Akura
409,アクラメイル黄,Cotte Akura jaune
410,アクラメイル蒼,Cotte Akura azur
411,アクラメイル紅,Cotte Akura cramoisie
412,アクラレジスト,Veste Akura
413,アクラレジスト黄,Veste Akura jaune
414,アクラレジスト蒼,Veste Akura azur
415,アクラレジスト紅,Veste Akura cramoisie
416,アクラＦメイル,Cotte Akura F
417,アクラＦメイル黄,Cotte Akura F jaune
418,アクラＦメイル蒼,Cotte Akura F azur
419,アクラＦメイル紅,Cotte Akura F cramoisie
420,アクラＦレジスト,Veste Akura F
421,アクラＦレジスト黄,Veste Akura F jaune
422,アクラＦレジスト蒼,Veste Akura F azur
423,アクラＦレジスト紅,Veste Akura F cramoisie
424,エクエスメイル,Cotte Eques
425,エクエスレジスト,Veste Eques
426,エクエスメイル改,
427,エクエスレジスト改,
428,エクエスＦメイル,Cotte Eques F
429,エクエスＦレジスト,Veste Eques F
430,星祭の装束・夏【赤】,
431,星祭の装束・夏【青】,
432,星祭の装束・夏【黒】,
433,星祭の装束・夏【白】,
434,七夕の装束・夏【赤】,
435,七夕の装束・夏【青】,
436,七夕の装束・夏【黒】,
437,七夕の装束・夏【白】,
438,星祭の装束・織【赤】,
439,星祭の装束・織【青】,
440,星祭の装束・織【黒】,
441,星祭の装束・織【白】,
442,七夕の装束・織【赤】,
443,七夕の装束・織【青】,
444,七夕の装束・織【黒】,
445,七夕の装束・織【白】,
446,星祭の装束・天【赤】,
447,星祭の装束・天【青】,
448,星祭の装束・天【黒】,
449,星祭の装束・天【白】,
450,七夕の装束・天【赤】,
451,七夕の装束・天【青】,
452,七夕の装束・天【黒】,
453,七夕の装束・天【白】,
454,ハイメタメイルSP黒,
455,ハイメタメイルSP青,
456,ハイメタメイルSP黄,
457,Ｓ・ソルメイルSP赤,
458,Ｓ・ソルメイルSP紫,
459,Ｓ・ソルメイルSP黒,
460,ガルルガレジストSP白,
461,ガルルガレジストSP緑,
462,ガルルガレジストSP赤,
463,ルーキーメイル【白】,Cotte Recrue [白]
464,ルーキーメイル【赤】,Cotte Recrue [赤]
465,ルーキーメイル【緑】,Cotte Recrue [緑]
466,ヒプノＳメイル,Cotte Hypnoc S
467,ヒプノＳレジスト,Veste Hypnoc S
468,プロギアメイル,Cotte Purogia
469,オラシオンメイル,Cotte Oracion
470,レクイエムメイル,
471,アクラＵメイル,Cotte Akura U
472,アクラＵメイル黄,Cotte Akura U jaune
473,アクラＵメイル蒼,Cotte Akura U azur
474,アクラＵメイル紅,Cotte Akura U cramoisie
475,アクラＵレジスト,Veste Akura U
476,アクラＵレジスト黄,Veste Akura U jaune
477,アクラＵレジスト蒼,Veste Akura U azur
478,アクラＵレジスト紅,Veste Akura U cramoisie
479,メランジャケット,
480,メランスーツ,Combinaison Melan
481,ルージュジャケット,
482,マギサベスト・赤,Gilet Magisa rouge
483,マギサベスト・黒,Gilet Magisa noir
484,マギサベスト・緑,Gilet Magisa vert
485,マギサベスト・白,Gilet Magisa blanc
486,マギサベスト・青,Gilet Magisa bleu
487,ウィザースーツ・赤,Combinaison Wither rouge
488,ウィザースーツ・黒,Combinaison Wither noire
489,ウィザースーツ・緑,Combinaison Wither verte
490,ウィザースーツ・白,Combinaison Wither blanche
491,ウィザースーツ・青,Combinaison Wither bleue
492,マギサＦベスト・赤,Gilet Magisa F rouge
493,マギサＦベスト・黒,Gilet Magisa F noir
494,マギサＦベスト・緑,Gilet Magisa F vert
495,マギサＦベスト・白,Gilet Magisa F blanc
496,マギサＦベスト・青,Gilet Magisa F bleu
497,ウィザーＦスーツ・赤,Combinaison Wither F rouge
498,ウィザーＦスーツ・黒,Combinaison Wither F noire
499,ウィザーＦスーツ・緑,Combinaison Wither F verte
500,ウィザーＦスーツ・白,Combinaison Wither F blanche
501,ウィザーＦスーツ・青,Combinaison Wither F bleue
502,クロウリーベスト・赤,
503,クロウリーベスト・黒,
504,クロウリーベスト・緑,
505,クロウリーベスト・白,
506,クロウリーベスト・青,
507,ファウストスーツ・赤,
508,ファウストスーツ・黒,
509,ファウストスーツ・緑,
510,ファウストスーツ・白,
511,ファウストスーツ・青,
512,クシャナディールSP赤,
513,クシャナディールSP黄,
514,クシャナディールSP緑,
515,クシャナバダルSP赤,
516,クシャナバダルSP黄,
517,クシャナバダルSP緑,
518,キリンベストSP赤,
519,キリンベストSP紫,
520,キリンベストSP黒,
521,キリンケープSP赤,
522,キリンケープSP紫,
523,キリンケープSP黒,
524,ストレガメイル,Cotte Strega
525,ストレガレジスト,Veste Strega
526,ストレガメイル改,
527,ストレガレジスト改,
528,ストレガＦメイル,Cotte Strega F
529,ストレガＦレジスト,Veste Strega F
530,フルフルＬメイル,Cotte Khezu L
531,ガレオスＬメイル,Cotte Cephalos L
532,ギザミＬメイル,Cotte Ceanataur L
533,レウスＬメイル,Cotte Rathalos L
534,マフモフＬジャケット,
535,あかねこ服スーツ,
536,アミティエベスト,Gilet Amitie
537,アミティエスーツ,Combinaison Amitie
538,バサルＬレジスト,Veste Basarios L
539,ゲリョスＬレジスト,Veste Gypceros L
540,ガーディアンＲスーツ,Combinaison Gardien R
541,ヒーラーＲベスト,Gilet Guérisseur R
542,ハンターＲメイル,Cotte Hunter's R
543,リオハートＲメイル,Cotte Rath R
544,ザザミＲメイル,Cotte Hermitaur R
545,アミティエＦベスト,Gilet Amitie F
546,アミティエＦスーツ,Combinaison Amitie F
547,キューラーＦベスト,Gilet Kyuura F
548,ガーディアンＲコルポ,
549,ヒーラーＲケープ,
550,クアッドメイルＣ,
551,クアッドメイル,
552,ベルメイル,Cotte Beru
553,ベルレジスト,Veste Beru
554,ベルＦメイル,Cotte Beru F
555,ベルＦレジスト,Veste Beru F
556,リアンベスト・青,Gilet Rian bleu
557,リアンスーツ・青,Combinaison Rian bleue
558,リアンベスト・赤,Gilet Rian rouge
559,リアンスーツ・赤,Combinaison Rian rouge
560,リアンベスト・黒,Gilet Rian noir
561,リアンスーツ・黒,Combinaison Rian noire
562,リアンベスト・白,Gilet Rian blanc
563,リアンスーツ・白,Combinaison Rian blanche
564,リアンＦベスト・青,Gilet Rian F bleu
565,リアンＦスーツ・青,Combinaison Rian F bleue
566,リアンＦベスト・赤,Gilet Rian F rouge
567,リアンＦスーツ・赤,Combinaison Rian F rouge
568,リアンＦベスト・黒,Gilet Rian F noir
569,リアンＦスーツ・黒,Combinaison Rian F noire
570,リアンＦベスト・白,Gilet Rian F blanc
571,リアンＦスーツ・白,Combinaison Rian F blanche
572,カイザーメイルSP白,
573,カイザーメイルSP黒,
574,カイザーメイルSP緑,
575,カイザーレジストSP白,
576,カイザーレジストSP黒,
577,カイザーレジストSP緑,
578,ザザミメイルSP青,
579,ザザミメイルSP白,
580,ザザミメイルSP紫,
581,クックＬメイル,Cotte Kut-Ku L
582,ゲリョスＬメイル,Cotte Gypceros L
583,イーオスＬメイル,Cotte Ioprey L
584,レイアＬメイル,Cotte Rathian L
585,バサルＬメイル,Cotte Basarios L
586,レウスＬレジスト,Veste Rathalos L
587,モノブロスＬレジスト,Veste Monoblos L
588,メルホアＲトロンコ,
589,ハイメタＲメイル,
590,ディアブロＲメイル,Cotte Diablos R
591,ブランゴＲメイル,Cotte Blango R
592,ラヴァＲメイル,Cotte Lavasioth R
593,ギアノスＲレジスト,Veste Giaprey R
594,バトルＲレジスト,Veste Bataille R
595,ヒプノルータスーツ,
596,ヒプノルータベスト,
597,ガルーダスーツ,Combinaison Garuda
598,ガルーダベスト【天】,Gilet Garuda [天]
599,ファミ通Ｔシャツ,
600,ファミ通ＴシャツＦ,
601,エクストラＦベスト,
602,パピメルＬペット,
603,ヒプノＲメイル,Cotte Hypnoc R
604,ディジギアメイル,Cotte Digi
605,プリエールメイル,Cotte Priere
606,サルバシオンメイル,Cotte Salvacion
607,シカリの胴当て,
608,シカリの胴当て・魁,
609,Ｇ・ガードＲスーツ蒼,
610,アルマベスト・黒,Gilet Alma noir
611,アルマスーツ・黒,Combinaison Alma noire
612,アルマベスト・白,Gilet Alma blanc
613,アルマスーツ・白,Combinaison Alma blanche
614,アルマベスト・青,Gilet Alma bleu
615,アルマスーツ・青,Combinaison Alma bleue
616,アルマベスト・茶,Gilet Alma brun
617,アルマスーツ・茶,Combinaison Alma brune
618,オルデンベスト,Gilet Orden
619,オルデンスーツ,Combinaison Orden
620,アルマＦベスト・黒,Gilet Alma F noir
621,アルマＦスーツ・黒,Combinaison Alma F noire
622,アルマＦベスト・白,Gilet Alma F blanc
623,アルマＦスーツ・白,Combinaison Alma F blanche
624,アルマＦベスト・青,Gilet Alma F bleu
625,アルマＦスーツ・青,Combinaison Alma F bleue
626,アルマＦベスト・茶,Gilet Alma F brun
627,アルマＦスーツ・茶,Combinaison Alma F brune
628,オルデンＦベスト,Gilet Orden F
629,オルデンＦスーツ,Combinaison Orden F
630,エス・クェラスーツ,Combinaison Es
631,エス・クェラベスト,Gilet Es
632,パンデウムスーツ,Combinaison Pandeum
633,パンデウムベスト,Gilet Pandeum
634,しろねこ服Ｆスーツ,
635,デスギアＬムスケル,
636,クロオビＬメイル,
637,バトルＬメイル,Cotte Bataille L
638,レックスＬメイル,Cotte Tigrex L
639,フルフルＲメイル,Cotte Khezu R
640,リオソウルＲメイル,Cotte Rath R
641,ギアノスＲメイル,Cotte Giaprey R
642,Ｇ・ガードＲスーツ蒼,
643,フルフルＬレジスト,Veste Khezu L
644,イーオスＲレジスト,Veste Ioprey R
645,ガルーダベスト【地】,Gilet Garuda [地]
646,プロクスメイル,Cotte Purokusu
647,プロクスＦメイル,Cotte Purokusu F
648,クレネスメイル,Cotte Kurenesu
649,クレネスＦメイル,Cotte Kurenesu F
650,スィーニメイル,Cotte Suini
651,スィーニＦメイル,Cotte Suini F
652,グラースレジスト,Veste Guraasu
653,グラースＦレジスト,Veste Guraasu F
654,フォルトゥメイル,Cotte Forutu
655,フォルトゥＦメイル,Cotte Forutu F
656,ファキルメイル,Cotte Fakiru
657,ファキルＦメイル,Cotte Fakiru F
658,バラバンメイル,Cotte Baraban
659,バラバンＦメイル,Cotte Baraban F
660,スフェラレジスト,Veste Sufera
661,スフェラＦレジスト,Veste Sufera F
662,パリアメイル,Cotte Paria
663,パリアＦメイル,Cotte Paria F
664,パリアレジスト,Veste Paria
665,パリアＦレジスト,Veste Paria F
666,ヒプノリアスーツ,Combinaison Hypnolia
667,ヒプノリアベスト,Gilet Hypnolia
668,フィアラルスーツ,Combinaison Féral
669,フィアラルベスト,Gilet Féral
670,鬼神ノ肩鎧,
671,ラスタ教官胴,
672,童子ノ肩鎧,
673,ダミー,
674,イクスベスト・白,Gilet Ix blanc
675,イクスＦベスト・白,Gilet Ix F blanc
676,イクススーツ・白,Combinaison Ix blanche
677,イクスＦスーツ・白,Combinaison Ix F blanche
678,イクスベスト・赤,Gilet Ix rouge
679,イクスＦベスト・赤,Gilet Ix F rouge
680,イクススーツ・赤,Combinaison Ix rouge
681,イクスＦスーツ・赤,Combinaison Ix F rouge
682,イクスベスト・青,Gilet Ix bleu
683,イクスＦベスト・青,Gilet Ix F bleu
684,イクススーツ・青,Combinaison Ix bleue
685,イクスＦスーツ・青,Combinaison Ix F bleue
686,イクスベスト・黒,Gilet Ix noir
687,イクスＦベスト・黒,Gilet Ix F noir
688,イクススーツ・黒,Combinaison Ix noire
689,イクスＦスーツ・黒,Combinaison Ix F noire
690,トランスベスト,Gilet Transe
691,トランスＦベスト,Gilet Transe F
692,トランススーツ,Combinaison Transe
693,トランスＦスーツ,Combinaison Transe F
694,ミヅハ【胸当】SP青,
695,ミヅハ【胸当】SP赤,
696,ミヅハ【胸当】SP黄,
697,トヨタマ【胸当】SP青,
698,トヨタマ【胸当】SP赤,
699,トヨタマ【胸当】SP黄,
700,暁丸【胴当て】SP赤,
701,暁丸【胴当て】SP紫,
702,暁丸【胴当て】SP白,
703,凛【胸当て】SP黒,
704,凛【胸当て】SP紫,
705,凛【胸当て】SP白,
706,ハンターＬメイル,Cotte Hunter's L
707,キリンＬベスト,Gilet Kirin L
708,モノブロスＬメイル,Cotte Monoblos L
709,ディアブロＬメイル,Cotte Diablos L
710,グラビドＬメイル,Cotte Gravios L
711,ランゴＬメイル,Cotte Vespoid L
712,バサルＲメイル,Cotte Basarios R
713,Ｇ・ガードＲベスト蒼,
714,Ｇ・ガードＲベスト蒼,
715,モノデビルＲメイル,Cotte Monodevil R
716,タロスＲメイル,Cotte Hornetaur R
717,ギザミＲメイル,Cotte Ceanataur R
718,ブランゴＬレジスト,Veste Blango L
719,ガノスＬレジスト,Veste Plesioth L
720,フルフルＲレジスト,Veste Khezu R
721,グラビドＲレジスト,Veste Gravios R
722,ヴァイスムスケル,
723,ヴァイスケミュート,
724,エスピナＲムスケル,
725,レックスＬレジスト,Veste Tigrex L
726,ガンズスーツ,Combinaison Guns
727,ワイルドスーツ,Combinaison Sauvage
728,ガンズベスト,Gilet Guns
729,ワイルドベスト,Gilet Sauvage
730,エコールスーツ,Combinaison Ecole
