index,source,target
81,ハイメタＵコート,
82,ゲネポスＵフォールド,Tassettes Genprey U
83,ゲネポスＵコート,Manteau Genprey U
84,クックＵフォールド,Tassettes Kut-Ku U
85,クックＵコート,Manteau Kut-Ku U
86,イーオスＵフォールド,Tassettes Ioprey U
87,イーオスＵコート,Manteau Ioprey U
88,ゲリョスＵフォールド,Tassettes Gypceros U
89,ゲリョスＵコート,Manteau Gypceros U
90,ガレオスＵフォールド,Tassettes Cephalos U
91,ガレオスＵコート,Manteau Cephalos U
92,スティールＵベルト,Ceinture Acier U
93,リオハートフォールド,Tassettes Rath
94,リオハートコート,Manteau Rath
95,フルフルＵフォールド,Tassettes Khezu U
96,フルフルＵコート,Manteau Khezu U
97,リオソウルフォールド,Tassettes Rath
98,リオソウルコート,Manteau Rath
99,バサルＵフォールド,Tassettes Basarios U
100,バサルＵコート,Manteau Basarios U
101,ディアブロＵコイル,Ceinturon Diablos U
102,ディアブロＵコート,Manteau Diablos U
103,モノデビルコイル,Ceinturon Monodevil
104,モノデビルコート,Manteau Monodevil
105,グラビドＵフォールド,Tassettes Gravios U
106,グラビドＵコート,Manteau Gravios U
107,忍の帯・空,
108,忍の帯・海,
109,ガーディアンＵコイル,Ceinturon Gardien U
110,ガーディアンＵコート,Manteau Gardien U
111,ヘルパーＵスカート,
112,ヒーラーＵフリル,
113,暁丸・皇【腰当て】,
114,曙丸・皇【腰当て】,
115,凛・皇【腰当て】,
116,艶・皇【腰当て】,
117,ミラバルカンウイング,
118,ミラバルカンテイル,
119,ゴールドルナコイル,
120,ゴールドルナコート,
121,シルバーソルコイル,
122,シルバーソルコート,
123,レザーライトＳベルト,Ceinture Cuir S
124,Ｃ・ライトＳベルト,
125,ハンターＳフォールド,Tassettes Hunter's S
126,ハンターＳコート,Manteau Hunter's S
127,ボーンＳフォールド,Tassettes Os S
128,ボーンＳコート,Manteau Os S
129,ランポスＳフォールド,Tassettes Velociprey S
130,ランポスＳコート,Manteau Velociprey S
131,バトルＳフォールド,Tassettes Bataille S
132,バトルＳコート,Manteau Bataille S
133,ランゴＳフォールド,Tassettes Vespoid S
134,ランゴＳコート,Manteau Vespoid S
135,タロスＳフォールド,Tassettes Hornetaur S
136,タロスＳコート,Manteau Hornetaur S
137,ハイメタＳフォールド,
138,ハイメタＳコート,
139,ゲネポスＳフォールド,Tassettes Genprey S
140,ゲネポスＳコート,Manteau Genprey S
141,クックＳフォールド,Tassettes Kut-Ku S
142,クックＳコート,Manteau Kut-Ku S
143,イーオスＳフォールド,Tassettes Ioprey S
144,イーオスＳコート,Manteau Ioprey S
145,ゲリョスＳフォールド,Tassettes Gypceros S
146,ゲリョスＳコート,Manteau Gypceros S
147,ガレオスＳフォールド,Tassettes Cephalos S
148,ガレオスＳコート,Manteau Cephalos S
149,スティールＳベルト,Ceinture Acier S
150,レイアＳフォールド,Tassettes Rathian S
151,レイアＳコート,Manteau Rathian S
152,フルフルＳフォールド,Tassettes Khezu S
153,フルフルＳコート,Manteau Khezu S
154,レウスＳフォールド,Tassettes Rathalos S
155,レウスＳコート,Manteau Rathalos S
156,バサルＳフォールド,Tassettes Basarios S
157,バサルＳコート,Manteau Basarios S
158,ディアブロＳコイル,Ceinturon Diablos S
159,ディアブロＳコート,Manteau Diablos S
160,モノブロスＳコイル,Ceinturon Monoblos S
161,モノブロスＳコート,Manteau Monoblos S
162,グラビドＳフォールド,Tassettes Gravios S
163,グラビドＳコート,Manteau Gravios S
164,忍の帯・天,
165,忍の帯・地,
166,ギルドガードコイル紅,Ceinturon Guilde cramoisi
167,ギルドガードコート紅,Manteau Guilde cramoisi
168,ギルドガードコイル紅,Ceinturon Guilde cramoisi
169,ギルドガードコート紅,Manteau Guilde cramoisi
170,暁丸・覇【腰当て】,
171,曙丸・覇【腰当て】,
172,凛・覇【腰当て】,
173,艶・覇【腰当て】,
174,ドラゴンＳウイング,
175,ドラゴンＳテイル,
176,ザザミフォールド,Tassettes Hermitaur
177,ザザミコート,Manteau Hermitaur
178,ザザミＵフォールド,Tassettes Hermitaur U
179,ザザミＵコート,Manteau Hermitaur U
180,ザザミＳフォールド,Tassettes Hermitaur S
181,ザザミＳコート,Manteau Hermitaur S
182,コンガフォールド,Tassettes Conga
183,コンガコート,Manteau Conga
184,コンガＵフォールド,Tassettes Conga U
185,コンガＵコート,Manteau Conga U
186,コンガＳフォールド,Tassettes Conga S
187,コンガＳコート,Manteau Conga S
188,ブランゴフォールド,Tassettes Blango
189,ブランゴコート,Manteau Blango
190,ブランゴＵフォールド,Tassettes Blango U
191,ブランゴＵコート,Manteau Blango U
192,ブランゴＳフォールド,Tassettes Blango S
193,ブランゴＳコート,Manteau Blango S
194,ギザミフォールド,Tassettes Ceanataur
195,ギザミコート,Manteau Ceanataur
196,ギザミＵフォールド,Tassettes Ceanataur U
197,ギザミＵコート,Manteau Ceanataur U
198,ギザミＳフォールド,Tassettes Ceanataur S
199,ギザミＳコート,Manteau Ceanataur S
200,キリンフープ,
201,キリンショルト,
202,キリンＳフープ,
203,キリンＳショルト,
204,クシャナアンダ,
205,クシャナアドミ,
206,ミヅハ【丸帯】,
207,トヨタマ【丸帯】,
208,エンプレスフォールド,Tassettes Impératrice
209,エンプレスコート,Manteau Impératrice
210,金剛【腰当て】,
211,不動【腰当て】,
212,カイザーフォールド,
213,カイザーコート,
214,夜叉【腰巻】,
215,修羅【腰巻】,
216,金色ノ帯,
217,黒子ノ帯,
218,ミラルーツウイング,
219,ミラルーツテイル,
220,ガノスＳフォールド,Tassettes Plesioth S
221,ガノスＳコート,Manteau Plesioth S
222,クロオビＳフォールド,
223,ガブラスーツベルト,
224,ギルドナイトコイル,Ceinturon Guilde
225,ギルドナイトスカート,
226,メイドスカート,
227,プライベートフリル,
228,ギルドガードコイル蒼,Ceinturon Guilde azur
229,ギルドガードコート蒼,Manteau Guilde azur
230,ギルドガードコイル蒼,Ceinturon Guilde azur
231,ギルドガードコート蒼,Manteau Guilde azur
232,Ｋ・ロブスタコイル,
233,Ｋ・ロブスタコート,
234,Ｆウエスト00,
235,Ｆウエスト01,
236,マスターベルト,
237,ヒプノフォールド,Tassettes Hypnoc
238,ヒプノコート,Manteau Hypnoc
239,ヒプノＵフォールド,Tassettes Hypnoc U
240,ヒプノＵコート,Manteau Hypnoc U
241,ラヴァフォールド,Tassettes Lavasioth
242,ラヴァコート,Manteau Lavasioth
243,ラヴァＳフォールド,Tassettes Lavasioth S
244,ラヴァＳコート,Manteau Lavasioth S
245,ギアノスＵフォールド,Tassettes Giaprey U
246,ギアノスＵコート,Manteau Giaprey U
247,しろねこ服テイル,
248,くろねこ服テイル,
249,きんねこ服テイル,
250,ゴシックフォールド,Tassettes Gothic
251,ゴシックＦフォールド,Tassettes Gothic F
252,ベイルリフレクサー,
253,コムラドベルト【猩】,Ceinture Camarade [猩]
254,ジストレルウエスト,Taille Jisutoreru
255,デュオフォールド,
256,スマートウエスト,
257,あかねこ服Ｆテイル,
258,ブートアップウエスト,
259,ユウェネスウエスト,Taille Yuenesu
260,欠番,
261,欠番,
262,エアリアルウエスト,Taille Aérien
263,ジストウエスト,Taille Giste
264,欠番,
265,エクストラウエスト,
266,ウナペルトウエスト,
267,キューラーウエスト,Taille Kyuura
268,欠番,
269,欠番,
270,ラフねこ服テイル,
271,レックスフォールド,Tassettes Tigrex
272,レックスコート,Manteau Tigrex
273,レックスＳフォールド,Tassettes Tigrex S
274,レックスＳコート,Manteau Tigrex S
275,パピメルアンカ,
276,パピメルコクサ,
277,パピメルＳアンカ,
278,パピメルＳコクサ,
279,アカムトイッケク,
280,アカムトイッケタリ,
281,ウナペルトＦウエスト,
282,メルホアＵオッハ,
283,マカルパコイル,Ceinturon Makluva
284,マカルパＵコイル,Ceinturon Makluva U
285,ビストロＵエプロン,
286,オウビートアンカ,
287,オウビートコクサ,
288,オウビートＳアンカ,
289,オウビートＳコクサ,
290,デスギアナーベル,
291,デスギアガイツ,
292,デスギアＳナーベル,
293,デスギアＳガイツ,
294,マフモフコート,Manteau Mafumofu
295,マフモフＳコート,Manteau Mafumofu S
296,クシャナＦアンダ,
297,クシャナＦアドミ,
298,カイザーＦフォールド,
299,カイザーＦコート,
300,ミヅハ魁【丸帯】,
301,トヨタマ魁【丸帯】,
302,金剛・魁【腰当て】,
303,不動・魁【腰当て】,
304,夜叉・魁【腰巻】,
305,修羅・魁【腰巻】,
306,エンプレスＦコイル,Ceinturon Impératrice F
307,エンプレスＦコート,Manteau Impératrice F
308,金色ノ帯・魁,
309,黒子ノ帯・魁,
310,ガルルガＦフォールド,Tassettes Garuga F
311,ガルルガＦコート,Manteau Garuga F
312,クシャナＦアンダ,
313,クシャナＦアドミ,
314,カイザーＦフォールド,
315,カイザーＦコート,
316,ミヅハ魁【丸帯】,
317,トヨタマ魁【丸帯】,
318,金剛・魁【腰当て】,
319,不動・魁【腰当て】,
320,夜叉・魁【腰巻】,
321,修羅・魁【腰巻】,
322,エンプレスＦコイル,Ceinturon Impératrice F
323,エンプレスＦコート,Manteau Impératrice F
324,金色ノ帯・魁,
325,黒子ノ帯・魁,
326,ガルルガＦフォールド,Tassettes Garuga F
327,ガルルガＦコート,Manteau Garuga F
328,ラヴァＵフォールド,Tassettes Lavasioth U
329,ラヴァＵコート,Manteau Lavasioth U
330,ホワイトメタルコート,Manteau Métal blanc
331,セレストフォールド,Tassettes Celeste
332,シエルリフレクサー,
333,コムラダベルト【赤】,Ceinture Comrada [赤]
334,コムラダベルト【青】,Ceinture Comrada [青]
335,コムラダベルト【緑】,Ceinture Comrada [緑]
336,コムラダベルト【橙】,Ceinture Comrada [橙]
337,ダミー,
338,ダミー,
339,エスピナナーベル,
340,エスピナガイツ,
341,エスピナＦナーベル,
342,エスピナＦガイツ,
343,アスールフォールド,Tassettes Azul
344,アスールコート,Manteau Azul
345,アメザリフォールド,Tassettes Amezari
346,アメザリコート,Manteau Amezari
347,プロミスコート【白】,Manteau Promesse [白]
348,プロミスコート【青】,Manteau Promesse [青]
349,プロミスコート【紫】,Manteau Promesse [紫]
350,プロミスコート【黄】,Manteau Promesse [黄]
351,ブリスコート【白】,Manteau Félicité [白]
352,ブリスコート【青】,Manteau Félicité [青]
353,ブリスコート【紫】,Manteau Félicité [紫]
354,ブリスコート【黄】,Manteau Félicité [黄]
355,ブリスＦコート【白】,Manteau Félicité F [白]
356,ブリスＦコート【青】,Manteau Félicité F [青]
357,ブリスＦコート【紫】,Manteau Félicité F [紫]
358,ブリスＦコート【黄】,Manteau Félicité F [黄]
359,ロジウェアウエスト,
360,バトルコートSP青,
361,バトルコートSP黄,
362,バトルコートSP紫,
363,レイアコイルSP青,
364,レイアコイルSP赤,
365,レイアコイルSP黒,
366,フルフルコイルSP青,
367,フルフルコイルSP緑,
368,フルフルコイルSP黒,
369,エスピナコイルSP赤,
370,エスピナコイルSP青,
371,エスピナコイルSP黄,
372,エスピナコートSP赤,
373,エスピナコートSP青,
374,エスピナコートSP黄,
375,ノワールフォールド,
376,ガーディコイルSP白,
377,ガーディコイルSP黒,
378,ガーディコイルSP紫,
379,ヒーラーフリルSP青,
380,ヒーラーフリルSP白,
381,ヒーラーフリルSP黄,
382,マフモフコートSP赤,
383,マフモフコートSP黄,
384,マフモフコートSP紫,
385,バサルコートSP赤,
386,バサルコートSP黒,
387,バサルコートSP黄,
388,アプカルフォールド,Tassettes Apkallu
389,アプカルコート,Manteau Apkallu
390,ゴスペルフォールド,
391,ゴスペルコート,
392,エスピナＵナーベル,
393,エスピナＵガイツ,
394,ブランゴコイルSP黄,
395,ブランゴコイルSP青,
396,ブランゴコイルSP黒,
397,金色ノ帯SP白,
398,金色ノ帯SP紫,
399,金色ノ帯SP緑,
400,グラビドコートSP緑,
401,グラビドコートSP紫,
402,グラビドコートSP赤,
403,ダミー,
404,祭のあとに【負け犬】,
405,祭のあとに【負け犬】,
406,祭のあとに【負け犬】,
407,祭のあとに【負け犬】,
408,祭のあとに【負け犬】,
409,祭のあとに【負け犬】,
410,アクラフォールド,Tassettes Akura
411,アクラフォールド黄,Tassettes Akura jaunes
412,アクラフォールド蒼,Tassettes Akura azur
413,アクラフォールド紅,Tassettes Akura cramoisies
414,アクラコート,Manteau Akura
415,アクラコート黄,Manteau Akura jaune
416,アクラコート蒼,Manteau Akura azur
417,アクラコート紅,Manteau Akura cramoisi
418,アクラＦフォールド,Tassettes Akura F
419,アクラＦフォールド黄,Tassettes Akura F jaunes
420,アクラＦフォールド蒼,Tassettes Akura F azur
421,アクラＦフォールド紅,Tassettes Akura F cramoisies
422,アクラＦコート,Manteau Akura F
423,アクラＦコート黄,Manteau Akura F jaune
424,アクラＦコート蒼,Manteau Akura F azur
425,アクラＦコート紅,Manteau Akura F cramoisi
426,エクエスフォールド,Tassettes Eques
427,エクエスコート,Manteau Eques
428,エクエスフォールド改,
429,エクエスコート改,
430,エクエスＦフォールド,Tassettes Eques F
431,エクエスＦコート,Manteau Eques F
432,星祭の帯・夏【赤】,
433,星祭の帯・夏【青】,
434,星祭の帯・夏【黒】,
435,星祭の帯・夏【白】,
436,七夕の帯・夏【赤】,
437,七夕の帯・夏【青】,
438,七夕の帯・夏【黒】,
439,七夕の帯・夏【白】,
440,星祭の帯・織【赤】,
441,星祭の帯・織【青】,
442,星祭の帯・織【黒】,
443,星祭の帯・織【白】,
444,七夕の帯・織【赤】,
445,七夕の帯・織【青】,
446,七夕の帯・織【黒】,
447,七夕の帯・織【白】,
448,星祭の帯・天【赤】,
449,星祭の帯・天【青】,
450,星祭の帯・天【黒】,
451,星祭の帯・天【白】,
452,七夕の帯・天【赤】,
453,七夕の帯・天【青】,
454,七夕の帯・天【黒】,
455,七夕の帯・天【白】,
456,ハイメタコイルSP黒,
457,ハイメタコイルSP青,
458,ハイメタコイルSP黄,
459,Ｓ・ソルコイルSP赤,
460,Ｓ・ソルコイルSP紫,
461,Ｓ・ソルコイルSP黒,
462,ガルルガコートSP白,
463,ガルルガコートSP緑,
464,ガルルガコートSP赤,
465,ルーキーベルト【白】,Ceinture Recrue [白]
466,ルーキーベルト【赤】,Ceinture Recrue [赤]
467,ルーキーベルト【緑】,Ceinture Recrue [緑]
468,ヒプノＳフォールド,Tassettes Hypnoc S
469,ヒプノＳコート,Manteau Hypnoc S
470,祭のあとに【負け犬】,
471,祭のあとに【負け犬】,
472,祭のあとに【負け犬】,
473,祭のあとに【負け犬】,
474,祭のあとに【負け犬】,
475,祭のあとに【負け犬】,
476,祭のあとに【負け犬】,
477,祭のあとに【負け犬】,
478,祭のあとに【負け犬】,
479,祭のあとに【負け犬】,
480,祭のあとに【負け犬】,
481,祭のあとに【負け犬】,
482,祭のあとに【負け犬】,
483,祭のあとに【負け犬】,
484,祭のあとに【負け犬】,
485,祭のあとに【負け犬】,
486,祭のあとに【負け犬】,
487,祭のあとに【負け犬】,
488,祭のあとに【負け犬】,
489,祭のあとに【負け犬】,
490,祭のあとに【負け犬】,
491,祭のあとに【負け犬】,
492,祭のあとに【負け犬】,
493,祭のあとに【負け犬】,
494,プロギアコート,Manteau Purogia
495,オラシオンコート,Manteau Oracion
496,レクイエムコート,
497,アクラＵフォールド,Tassettes Akura U
498,アクラＵフォールド黄,Tassettes Akura U jaunes
499,アクラＵフォールド蒼,Tassettes Akura U azur
500,アクラＵフォールド紅,Tassettes Akura U cramoisies
501,アクラＵコート,Manteau Akura U
502,アクラＵコート黄,Manteau Akura U jaune
503,アクラＵコート蒼,Manteau Akura U azur
504,アクラＵコート紅,Manteau Akura U cramoisi
505,メランフォールド,Tassettes Melan
506,メランコート,Manteau Melan
507,ルージュフォールド,
508,マギサコイル・赤,Ceinturon Magisa rouge
509,マギサコイル・黒,Ceinturon Magisa noir
510,マギサコイル・緑,Ceinturon Magisa vert
511,マギサコイル・白,Ceinturon Magisa blanc
512,マギサコイル・青,Ceinturon Magisa bleu
513,ウィザーコート・赤,Manteau Wither rouge
514,ウィザーコート・黒,Manteau Wither noir
515,ウィザーコート・緑,Manteau Wither vert
516,ウィザーコート・白,Manteau Wither blanc
517,ウィザーコート・青,Manteau Wither bleu
518,マギサＦコイル・赤,Ceinturon Magisa F rouge
519,マギサＦコイル・黒,Ceinturon Magisa F noir
520,マギサＦコイル・緑,Ceinturon Magisa F vert
521,マギサＦコイル・白,Ceinturon Magisa F blanc
522,マギサＦコイル・青,Ceinturon Magisa F bleu
523,ウィザーＦコート・赤,Manteau Wither F rouge
524,ウィザーＦコート・黒,Manteau Wither F noir
525,ウィザーＦコート・緑,Manteau Wither F vert
526,ウィザーＦコート・白,Manteau Wither F blanc
527,ウィザーＦコート・青,Manteau Wither F bleu
528,クロウリーコイル・赤,
529,クロウリーコイル・黒,
530,クロウリーコイル・緑,
531,クロウリーコイル・白,
532,クロウリーコイル・青,
533,ファウストコート・赤,
534,ファウストコート・黒,
535,ファウストコート・緑,
536,ファウストコート・白,
537,ファウストコート・青,
538,クシャナアンダSP赤,
539,クシャナアンダSP黄,
540,クシャナアンダSP緑,
541,クシャナアドミSP赤,
542,クシャナアドミSP黄,
543,クシャナアドミSP緑,
544,キリンフープSP赤,
545,キリンフープSP紫,
546,キリンフープSP黒,
547,キリンショルトSP赤,
548,キリンショルトSP紫,
549,キリンショルトSP黒,
550,ストレガフォールド,Tassettes Strega
551,ストレガコート,Manteau Strega
552,ストレガフォールド改,
553,ストレガコート改,
554,ストレガＦフォールド,Tassettes Strega F
555,ストレガＦコート,Manteau Strega F
556,フルフルＬフォールド,Tassettes Khezu L
557,ガレオスＬフォールド,Tassettes Cephalos L
558,ギザミＬフォールド,Tassettes Ceanataur L
559,レウスＬフォールド,Tassettes Rathalos L
560,マフモフＬコート,Manteau Mafumofu L
561,あかねこ服テイル,
562,アミティエコイル,Ceinturon Amitie
563,アミティエコート,Manteau Amitie
564,バサルＬコート,Manteau Basarios L
565,ゲリョスＬコート,Manteau Gypceros L
566,ガーディアンＲコイル,Ceinturon Gardien R
567,ヒーラーＲフリル,
568,ハンターＲフォールド,Tassettes Hunter's R
569,リオハートＲコイル,Ceinturon Rath R
570,ザザミＲフォールド,Tassettes Hermitaur R
571,アミティエＦコイル,Ceinturon Amitie F
572,アミティエＦコート,Manteau Amitie F
573,キューラーＦウエスト,Taille Kyuura F
574,ガーディアンＲアンカ,
575,ヒーラーＲスカート,
576,祭のあとに【負け犬】,
577,祭のあとに【負け犬】,
578,祭のあとに【負け犬】,
579,祭のあとに【負け犬】,
580,祭のあとに【負け犬】,
581,祭のあとに【負け犬】,
582,祭のあとに【負け犬】,
583,祭のあとに【負け犬】,
584,祭のあとに【負け犬】,
585,祭のあとに【負け犬】,
586,祭のあとに【負け犬】,
587,祭のあとに【負け犬】,
588,祭のあとに【負け犬】,
589,祭のあとに【負け犬】,
590,祭のあとに【負け犬】,
591,祭のあとに【負け犬】,
592,祭のあとに【負け犬】,
593,祭のあとに【負け犬】,
594,祭のあとに【負け犬】,
595,祭のあとに【負け犬】,
596,祭のあとに【負け犬】,
597,祭のあとに【負け犬】,
598,祭のあとに【負け犬】,
599,祭のあとに【負け犬】,
600,祭のあとに【負け犬】,
601,祭のあとに【負け犬】,
602,祭のあとに【負け犬】,
603,祭のあとに【負け犬】,
604,祭のあとに【負け犬】,
605,祭のあとに【負け犬】,
606,祭のあとに【負け犬】,
607,祭のあとに【負け犬】,
608,祭のあとに【負け犬】,
609,祭のあとに【負け犬】,
610,祭のあとに【負け犬】,
611,祭のあとに【負け犬】,
612,祭のあとに【負け犬】,
613,祭のあとに【負け犬】,
614,祭のあとに【負け犬】,
615,祭のあとに【負け犬】,
616,祭のあとに【負け犬】,
617,祭のあとに【負け犬】,
618,祭のあとに【負け犬】,
619,祭のあとに【負け犬】,
620,祭のあとに【負け犬】,
621,祭のあとに【負け犬】,
622,祭のあとに【負け犬】,
623,祭のあとに【負け犬】,
624,祭のあとに【負け犬】,
625,祭のあとに【負け犬】,
626,祭のあとに【負け犬】,
627,祭のあとに【負け犬】,
628,祭のあとに【負け犬】,
629,祭のあとに【負け犬】,
630,祭のあとに【負け犬】,
631,祭のあとに【負け犬】,
632,祭のあとに【負け犬】,
633,祭のあとに【負け犬】,
634,祭のあとに【負け犬】,
635,祭のあとに【負け犬】,
636,クアッドフォールドＣ,
637,クアッドフォールド,
638,ベルフォールド,Tassettes Beru
639,ベルコート,Manteau Beru
640,ベルＦフォールド,Tassettes Beru F
641,ベルＦコート,Manteau Beru F
642,リアンコイル・青,Ceinturon Rian bleu
643,リアンコート・青,Manteau Rian bleu
644,リアンコイル・赤,Ceinturon Rian rouge
645,リアンコート・赤,Manteau Rian rouge
646,リアンコイル・黒,Ceinturon Rian noir
647,リアンコート・黒,Manteau Rian noir
648,リアンコイル・白,Ceinturon Rian blanc
649,リアンコート・白,Manteau Rian blanc
650,リアンＦコイル・青,Ceinturon Rian F bleu
651,リアンＦコート・青,Manteau Rian F bleu
652,リアンＦコイル・赤,Ceinturon Rian F rouge
653,リアンＦコート・赤,Manteau Rian F rouge
654,リアンＦコイル・黒,Ceinturon Rian F noir
655,リアンＦコート・黒,Manteau Rian F noir
656,リアンＦコイル・白,Ceinturon Rian F blanc
657,リアンＦコート・白,Manteau Rian F blanc
658,カイザーコイルSP白,
659,カイザーコイルSP黒,
660,カイザーコイルSP緑,
661,カイザーコートSP白,
662,カイザーコートSP黒,
663,カイザーコートSP緑,
664,ザザミフォールドSP青,
665,ザザミフォールドSP白,
666,ザザミフォールドSP紫,
667,クックＬフォールド,Tassettes Kut-Ku L
668,ゲリョスＬフォールド,Tassettes Gypceros L
669,イーオスＬフォールド,Tassettes Ioprey L
670,レイアＬフォールド,Tassettes Rathian L
671,バサルＬフォールド,Tassettes Basarios L
672,レウスＬコート,Manteau Rathalos L
673,モノブロスＬコート,Manteau Monoblos L
674,メルホアＲオッハ,
675,ハイメタＲフォールド,
676,ディアブロＲコイル,Ceinturon Diablos R
677,ブランゴＲフォールド,Tassettes Blango R
678,ラヴァＲフォールド,Tassettes Lavasioth R
679,ギアノスＲコート,Manteau Giaprey R
680,バトルＲコート,Manteau Bataille R
681,ヒプノルータウエスト,
682,ヒプノルータベルト,
683,ガルーダウエスト,Taille Garuda
684,ガルーダベルト,Ceinture Garuda
685,エクストラＦウエスト,
686,パピメルＬアンカ,
687,ヒプノＲフォールド,Tassettes Hypnoc R
688,ディジギアコート,Manteau Digi
689,プリエールコート,Manteau Priere
690,サルバシオンコート,Manteau Salvacion
691,シカリの腰当て,
692,シカリの腰当て・魁,
693,Ｇ・ガードＲコイル蒼,
694,アルマコイル・黒,Ceinturon Alma noir
695,アルマコート・黒,Manteau Alma noir
696,アルマコイル・白,Ceinturon Alma blanc
697,アルマコート・白,Manteau Alma blanc
698,アルマコイル・青,Ceinturon Alma bleu
699,アルマコート・青,Manteau Alma bleu
700,アルマコイル・茶,Ceinturon Alma brun
701,アルマコート・茶,Manteau Alma brun
702,オルデンコイル,Ceinturon Orden
703,オルデンコート,Manteau Orden
704,アルマＦコイル・黒,Ceinturon Alma F noir
705,アルマＦコート・黒,Manteau Alma F noir
706,アルマＦコイル・白,Ceinturon Alma F blanc
707,アルマＦコート・白,Manteau Alma F blanc
708,アルマＦコイル・青,Ceinturon Alma F bleu
709,アルマＦコート・青,Manteau Alma F bleu
710,アルマＦコイル・茶,Ceinturon Alma F brun
711,アルマＦコート・茶,Manteau Alma F brun
712,オルデンＦコイル,Ceinturon Orden F
713,オルデンＦコート,Manteau Orden F
714,エス・クェラウエスト,Taille Es
715,エス・クェラベルト,Ceinture Es
716,パンデウムウエスト,Taille Pandeum
717,パンデウムベルト,Ceinture Pandeum
718,しろねこ服Ｆテイル,
719,デスギアＬナーベル,
720,クロオビＬフォールド,
721,バトルＬフォールド,Tassettes Bataille L
722,レックスＬフォールド,Tassettes Tigrex L
723,フルフルＲフォールド,Tassettes Khezu R
724,リオソウルＲコイル,Ceinturon Rath R
725,ギアノスＲフォールド,Tassettes Giaprey R
726,Ｇ・ガードＲコイル蒼,
727,フルフルＬコート,Manteau Khezu L
728,イーオスＲコート,Manteau Ioprey R
729,イーリスベルトSP,
730,ヒプノＳフェイク,
731,真・ヒプノＳフェイク,
732,プロクスコイル,Ceinturon Purokusu
733,プロクスＦコイル,Ceinturon Purokusu F
734,クレネスコイル,Ceinturon Kurenesu
735,クレネスＦコイル,Ceinturon Kurenesu F
736,スィーニコイル,Ceinturon Suini
737,スィーニＦコイル,Ceinturon Suini F
738,グラースコート,Manteau Guraasu
739,グラースＦコート,Manteau Guraasu F
740,フォルトゥコイル,Ceinturon Forutu
741,フォルトゥＦコイル,Ceinturon Forutu F
742,ファキルコイル,Ceinturon Fakiru
743,ファキルＦコイル,Ceinturon Fakiru F
744,バラバンコイル,Ceinturon Baraban
745,バラバンＦコイル,Ceinturon Baraban F
